
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      74.95
2                      74.74
4                      74.89
8                      75.71
16                     73.76
32                     73.77
64                     73.04
128                    71.38
256                    84.86
512                    95.79
1024                  116.88
2048                  163.80
4096                  246.28
8192                  410.49
16384                 892.87
32768                2065.89
65536                3398.48
131072               7258.05
262144              15629.34
524288              31500.46
1048576             63309.92
2097152            127926.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      74.19
2                      74.40
4                      74.42
8                      74.47
16                     72.39
32                     75.67
64                     72.65
128                    70.67
256                    85.08
512                    95.99
1024                  119.57
2048                  165.04
4096                  246.49
8192                  411.51
16384                 885.64
32768                2069.71
65536                3386.99
131072               7246.90
262144              15621.09
524288              31460.97
1048576             63292.75
2097152            127858.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      70.08
2                      69.88
4                      69.32
8                      69.04
16                     69.74
32                     69.66
64                     69.66
128                    70.40
256                    84.11
512                    95.63
1024                  115.07
2048                  170.01
4096                  245.37
8192                  412.72
16384                 875.04
32768                2083.83
65536                3401.86
131072               7257.58
262144              15637.71
524288              31506.71
1048576             63293.17
2097152            127796.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      69.28
2                      69.10
4                      69.44
8                      69.97
16                     69.24
32                     70.01
64                     69.55
128                    71.38
256                    84.94
512                    95.57
1024                  115.19
2048                  168.46
4096                  246.08
8192                  412.30
16384                 875.47
32768                2076.00
65536                3399.32
131072               7270.79
262144              15629.30
524288              31489.45
1048576             63280.86
2097152            127883.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      63.22
2                      62.90
4                      62.99
8                      63.60
16                     63.55
32                     64.10
64                     64.71
128                    67.78
256                    83.67
512                    95.52
1024                  115.16
2048                  157.88
4096                  247.14
8192                  413.16
16384                 875.00
32768                2079.12
65536                3398.38
131072               7251.75
262144              15556.59
524288              31438.43
1048576             63294.07
2097152            127931.23
