
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.82
2                      10.54
4                      10.44
8                      10.52
16                     10.93
32                     11.46
64                     13.00
128                    15.81
256                    21.01
512                    29.01
1024                   46.73
2048                   71.97
4096                  130.46
8192                  294.49
16384                 937.53
32768                5147.55
65536               10231.02
131072              19251.56
262144              36877.53
524288              67207.24
1048576            121989.73
2097152            230147.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.72
2                      10.35
4                      10.36
8                      10.32
16                     10.66
32                     11.32
64                     12.98
128                    15.78
256                    22.08
512                    29.04
1024                   46.73
2048                   72.05
4096                  129.46
8192                  293.61
16384                 947.42
32768                5111.13
65536               10351.84
131072              19159.63
262144              37412.52
524288              67648.46
1048576            121871.38
2097152            229901.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.75
2                      10.46
4                      10.39
8                      10.35
16                     10.69
32                     11.32
64                     13.00
128                    15.79
256                    20.98
512                    28.96
1024                   46.75
2048                   72.10
4096                  130.11
8192                  294.52
16384                 927.25
32768                5060.99
65536               10623.86
131072              19513.31
262144              36997.44
524288              67546.55
1048576            121755.47
2097152            229682.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.82
2                      10.39
4                      10.38
8                      10.41
16                     10.81
32                     11.52
64                     13.06
128                    15.84
256                    21.07
512                    29.20
1024                   46.93
2048                   72.24
4096                  130.33
8192                  293.75
16384                 944.01
32768                5123.10
65536               10576.80
131072              19299.13
262144              37434.10
524288              67532.74
1048576            121990.05
2097152            229918.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.80
2                      10.38
4                      10.36
8                      10.33
16                     10.65
32                     11.36
64                     13.01
128                    15.88
256                    21.10
512                    29.06
1024                   46.83
2048                   72.06
4096                  129.24
8192                  293.51
16384                 953.18
32768                5145.83
65536               10558.35
131072              19298.79
262144              37234.98
524288              67745.43
1048576            121954.58
2097152            229650.87
