
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.17
2                       9.10
4                       9.29
8                       9.45
16                      9.80
32                     10.87
64                     12.75
128                    16.03
256                    22.13
512                    31.24
1024                   57.50
2048                  108.14
4096                  201.01
8192                  601.13
16384                4139.89
32768                8272.93
65536               15589.73
131072              29638.45
262144              57631.40
524288             104912.44
1048576            188515.51
2097152            352918.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.28
2                       9.13
4                       9.21
8                       9.43
16                      9.77
32                     10.67
64                     12.65
128                    16.11
256                    22.05
512                    31.31
1024                   57.31
2048                  108.11
4096                  203.23
8192                  597.19
16384                4121.64
32768                8315.51
65536               15480.50
131072              29699.60
262144              57600.34
524288             104592.53
1048576            187712.87
2097152            351273.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.04
2                       9.66
4                       9.71
8                      10.01
16                     10.29
32                     11.15
64                     13.18
128                    16.24
256                    22.13
512                    31.26
1024                   56.92
2048                  108.51
4096                  202.86
8192                  598.68
16384                4138.67
32768                8100.80
65536               15559.46
131072              29168.28
262144              57540.59
524288             104816.82
1048576            187968.55
2097152            351982.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.29
2                       9.09
4                       9.20
8                       9.42
16                      9.81
32                     10.69
64                     12.68
128                    16.02
256                    22.03
512                    31.16
1024                   56.52
2048                  107.92
4096                  200.64
8192                  592.92
16384                4151.07
32768                8169.94
65536               15702.68
131072              29834.92
262144              57336.37
524288             105152.42
1048576            188736.05
2097152            352338.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.27
2                       9.15
4                       9.24
8                       9.47
16                      9.88
32                     10.79
64                     12.66
128                    16.12
256                    22.03
512                    31.28
1024                   57.59
2048                  108.54
4096                  200.94
8192                  596.18
16384                4150.07
32768                8156.49
65536               15795.30
131072              29546.95
262144              57536.35
524288             104545.56
1048576            188339.45
2097152            352557.97
