
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.31
2                      11.30
4                      10.81
8                      12.27
16                     17.83
32                     19.40
64                     22.76
128                    26.13
256                    47.81
512                    77.04
1024                  139.29
2048                  111.15
4096                  155.09
8192                  262.35
16384                 977.31
32768                1602.78
65536                3085.95
131072               5660.42
262144              11105.07
524288              22326.34
1048576             45740.11
2097152             92623.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.26
2                      11.28
4                      10.73
8                      12.26
16                     17.83
32                     19.38
64                     22.74
128                    25.96
256                    47.84
512                    76.81
1024                  139.36
2048                  111.13
4096                  154.54
8192                  261.85
16384                 974.57
32768                1552.84
65536                3046.17
131072               5710.57
262144              11122.59
524288              22344.83
1048576             45711.70
2097152             92639.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.21
2                      11.25
4                      10.72
8                      12.24
16                     17.76
32                     19.35
64                     22.75
128                    25.93
256                    47.83
512                    76.85
1024                  139.06
2048                  108.55
4096                  154.30
8192                  264.10
16384                 979.30
32768                1557.70
65536                3034.02
131072               5660.72
262144              11120.32
524288              22252.42
1048576             45629.65
2097152             92579.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.22
2                      11.31
4                      10.77
8                      12.36
16                     17.72
32                     19.38
64                     22.83
128                    25.87
256                    47.84
512                    76.85
1024                  138.93
2048                  108.44
4096                  154.32
8192                  262.66
16384                 987.97
32768                1537.91
65536                3027.31
131072               5684.52
262144              11088.74
524288              22287.81
1048576             45689.89
2097152             92722.15

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.22
2                      11.33
4                      10.75
8                      12.23
16                     17.83
32                     19.39
64                     22.78
128                    26.02
256                    47.87
512                    76.84
1024                  139.18
2048                  108.81
4096                  154.22
8192                  260.65
16384                 968.11
32768                1578.36
65536                3042.75
131072               5636.26
262144              11151.59
524288              22260.14
1048576             45760.95
2097152             92689.02
