
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.12
2                      14.09
4                      14.63
8                      15.93
16                     17.44
32                     19.02
64                     22.31
128                    28.15
256                    45.90
512                    72.48
1024                  129.30
2048                  344.37
4096                  490.72
8192                  963.29
16384                1930.17
32768                3306.71
65536                6351.18
131072              12524.49
262144              24986.24
524288              49958.12
1048576             99889.82
2097152            199790.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.24
2                      14.05
4                      14.50
8                      15.91
16                     17.43
32                     19.07
64                     22.41
128                    28.18
256                    45.85
512                    72.39
1024                  128.97
2048                  344.38
4096                  490.06
8192                  960.10
16384                1918.67
32768                3305.97
65536                6359.17
131072              12530.52
262144              24988.25
524288              49962.03
1048576             99894.70
2097152            199818.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.20
2                      14.04
4                      14.57
8                      15.93
16                     17.37
32                     19.05
64                     22.34
128                    28.19
256                    45.88
512                    72.47
1024                  129.02
2048                  345.10
4096                  492.62
8192                  969.50
16384                1918.42
32768                3307.86
65536                6351.83
131072              12534.05
262144              24987.80
524288              49970.14
1048576             99895.91
2097152            199823.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.10
2                      14.10
4                      14.60
8                      16.02
16                     17.41
32                     19.03
64                     22.31
128                    28.10
256                    45.77
512                    72.55
1024                  128.84
2048                  345.31
4096                  490.78
8192                  964.11
16384                1919.10
32768                3304.05
65536                6345.49
131072              12537.86
262144              24992.04
524288              49970.41
1048576             99911.06
2097152            199810.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.29
2                      14.13
4                      14.62
8                      16.02
16                     17.47
32                     19.06
64                     22.30
128                    28.23
256                    45.85
512                    72.48
1024                  128.80
2048                  344.36
4096                  491.52
8192                  967.85
16384                1917.43
32768                3334.50
65536                6354.21
131072              12533.20
262144              24990.00
524288              49965.39
1048576             99895.96
2097152            199803.68
