
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.01
2                      13.66
4                      14.13
8                      15.42
16                     16.96
32                     18.56
64                     21.90
128                    27.84
256                    45.50
512                    72.23
1024                  128.66
2048                  233.55
4096                  437.38
8192                  850.01
16384                1648.23
32768                3239.41
65536                6434.65
131072              12850.24
262144              25678.49
524288              51350.59
1048576            102803.01
2097152            205741.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.96
2                      13.64
4                      14.16
8                      15.43
16                     17.01
32                     18.58
64                     22.00
128                    27.91
256                    45.57
512                    72.03
1024                  128.62
2048                  233.41
4096                  436.82
8192                  850.23
16384                1648.35
32768                3238.54
65536                6431.49
131072              12857.70
262144              25692.58
524288              51385.59
1048576            102756.46
2097152            205914.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.99
2                      13.65
4                      14.14
8                      15.49
16                     16.97
32                     18.58
64                     21.88
128                    27.83
256                    45.48
512                    72.08
1024                  128.65
2048                  233.45
4096                  436.87
8192                  848.62
16384                1645.95
32768                3240.21
65536                6434.09
131072              12849.57
262144              25683.53
524288              51387.32
1048576            102812.05
2097152            205926.15

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.87
2                      13.60
4                      14.12
8                      15.38
16                     16.95
32                     18.55
64                     21.89
128                    27.82
256                    45.60
512                    72.18
1024                  128.90
2048                  233.46
4096                  437.06
8192                  850.02
16384                1647.38
32768                3237.36
65536                6429.59
131072              12850.47
262144              25683.36
524288              51376.81
1048576            102798.68
2097152            205860.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.97
2                      13.64
4                      14.09
8                      15.42
16                     16.97
32                     18.57
64                     21.92
128                    27.86
256                    45.62
512                    72.14
1024                  128.82
2048                  233.68
4096                  437.55
8192                  847.46
16384                1647.32
32768                3241.95
65536                6433.83
131072              12857.26
262144              25693.80
524288              51390.26
1048576            102789.17
2097152            205788.63
