
# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.53
2                       8.86
4                       8.79
8                       9.08
16                      8.70
32                      8.71
64                      8.75
128                     9.17
256                     9.35
512                     9.49
1024                    9.90
2048                   10.97
4096                   13.19
8192                   15.86
16384                  20.52
32768                  27.98
65536                  50.75
131072                 81.25
262144                120.83
524288                260.71
1048576               539.12
2097152              1229.56

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.72
2                       8.87
4                       8.80
8                       8.77
16                      8.77
32                      8.71
64                      8.73
128                     9.20
256                     9.30
512                     9.48
1024                    9.88
2048                   10.92
4096                   13.17
8192                   15.93
16384                  20.62
32768                  27.97
65536                  50.67
131072                 82.66
262144                120.69
524288                270.00
1048576               517.17
2097152              1219.41

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.74
2                       8.90
4                       8.81
8                       8.82
16                      8.71
32                      8.72
64                      8.76
128                     9.25
256                     9.33
512                     9.49
1024                    9.88
2048                   11.01
4096                   13.28
8192                   15.89
16384                  20.62
32768                  28.08
65536                  50.69
131072                 81.40
262144                120.49
524288                258.03
1048576               529.04
2097152              1201.01

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.70
2                       8.94
4                       8.90
8                       8.88
16                      8.81
32                      8.78
64                      8.81
128                     9.31
256                     9.35
512                     9.51
1024                    9.91
2048                   10.99
4096                   13.32
8192                   15.74
16384                  21.03
32768                  28.03
65536                  50.99
131072                 81.52
262144                120.67
524288                258.37
1048576               543.11
2097152              1215.17

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.72
2                       8.86
4                       8.80
8                       8.79
16                      8.67
32                      8.69
64                      8.73
128                     9.14
256                     9.26
512                     9.50
1024                    9.85
2048                   10.95
4096                   13.17
8192                   15.83
16384                  20.16
32768                  27.81
65536                  50.99
131072                 81.26
262144                120.62
524288                251.33
1048576               528.51
2097152              1253.23
