
# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.85
2                       6.04
4                       5.93
8                       5.91
16                      5.78
32                      5.93
64                      5.98
128                     6.90
256                     7.02
512                     7.10
1024                    7.75
2048                    9.22
4096                   10.46
8192                   12.89
16384                  19.48
32768                  26.24
65536                  47.18
131072                 77.96
262144                154.23
524288                249.56
1048576               626.93
2097152              1405.56

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.89
2                       6.07
4                       5.98
8                       5.96
16                      5.79
32                      5.98
64                      5.99
128                     6.92
256                     7.03
512                     7.12
1024                    7.73
2048                    9.28
4096                   10.52
8192                   13.01
16384                  19.55
32768                  26.26
65536                  47.13
131072                 77.58
262144                148.20
524288                252.55
1048576               635.78
2097152              1409.75

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.98
2                       6.18
4                       6.15
8                       5.96
16                      5.92
32                      6.08
64                      6.17
128                     6.99
256                     7.01
512                     7.26
1024                    7.84
2048                    9.41
4096                   10.71
8192                   13.16
16384                  19.51
32768                  26.19
65536                  47.76
131072                 77.75
262144                142.11
524288                270.35
1048576               624.21
2097152              1405.43

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.87
2                       6.06
4                       6.02
8                       5.98
16                      5.77
32                      5.95
64                      6.00
128                     6.91
256                     7.06
512                     7.16
1024                    7.69
2048                    9.44
4096                   10.72
8192                   13.01
16384                  19.58
32768                  26.19
65536                  47.47
131072                 77.96
262144                153.91
524288                259.19
1048576               623.63
2097152              1408.62

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.86
2                       6.07
4                       5.97
8                       5.93
16                      5.81
32                      6.02
64                      6.02
128                     6.94
256                     7.03
512                     7.21
1024                    7.74
2048                    9.35
4096                   10.55
8192                   12.93
16384                  19.67
32768                  26.20
65536                  47.60
131072                 77.88
262144                148.17
524288                260.64
1048576               627.91
2097152              1415.86
