
# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.42
2                       1.01
4                       1.01
8                       1.01
16                      1.01
32                      1.04
64                      1.07
128                     1.12
256                     1.59
512                     1.84
1024                    2.08
2048                    3.37
4096                    4.79
8192                    6.45
16384                   9.92
32768                  18.29
65536                  25.21
131072                 37.77
262144                 69.48
524288                244.15
1048576               313.57
2097152               696.13

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.44
2                       1.05
4                       1.04
8                       1.05
16                      1.04
32                      1.08
64                      1.10
128                     1.15
256                     1.64
512                     1.90
1024                    2.14
2048                    3.42
4096                    4.88
8192                    6.50
16384                   9.89
32768                  18.26
65536                  25.29
131072                 37.84
262144                 69.40
524288                244.33
1048576               309.07
2097152               675.44

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.45
2                       1.03
4                       1.03
8                       1.02
16                      1.02
32                      1.05
64                      1.07
128                     1.13
256                     1.59
512                     1.84
1024                    2.07
2048                    3.42
4096                    4.87
8192                    6.47
16384                   9.94
32768                  18.28
65536                  25.23
131072                 37.64
262144                 69.13
524288                244.12
1048576               309.99
2097152               678.09

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.46
2                       1.05
4                       1.05
8                       1.05
16                      1.06
32                      1.08
64                      1.10
128                     1.15
256                     1.59
512                     1.87
1024                    2.09
2048                    3.39
4096                    4.84
8192                    6.47
16384                   9.98
32768                  18.36
65536                  25.09
131072                 37.82
262144                 69.29
524288                244.16
1048576               311.55
2097152               669.34

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.43
2                       1.02
4                       1.02
8                       1.01
16                      1.01
32                      1.06
64                      1.06
128                     1.11
256                     1.59
512                     1.83
1024                    2.09
2048                    3.37
4096                    4.83
8192                    6.48
16384                   9.97
32768                  19.11
65536                  25.18
131072                 37.84
262144                 69.46
524288                244.19
1048576               312.50
2097152               687.06
