
# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.38
2                       0.97
4                       0.98
8                       0.98
16                      0.97
32                      1.00
64                      1.00
128                     1.08
256                     1.53
512                     1.80
1024                    2.05
2048                    3.29
4096                    4.80
8192                    6.41
16384                   9.41
32768                  19.34
65536                  25.16
131072                 37.76
262144                 69.08
524288                244.07
1048576               313.30
2097152               681.44

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.35
2                       0.96
4                       0.95
8                       0.95
16                      0.95
32                      0.98
64                      1.00
128                     1.06
256                     1.53
512                     1.79
1024                    2.04
2048                    3.33
4096                    4.79
8192                    6.44
16384                   9.45
32768                  19.08
65536                  25.12
131072                 37.76
262144                 69.21
524288                244.05
1048576               311.30
2097152               684.22

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.55
2                       1.00
4                       0.98
8                       0.99
16                      0.98
32                      1.03
64                      1.03
128                     1.11
256                     1.58
512                     1.84
1024                    2.11
2048                    3.38
4096                    4.85
8192                    6.59
16384                   9.50
32768                  19.77
65536                  26.20
131072                 37.84
262144                 69.23
524288                244.30
1048576               313.90
2097152               680.29

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.35
2                       0.96
4                       0.95
8                       0.94
16                      0.95
32                      0.98
64                      1.00
128                     1.05
256                     1.49
512                     1.75
1024                    2.00
2048                    3.32
4096                    4.76
8192                    6.43
16384                   9.43
32768                  19.64
65536                  25.07
131072                 37.69
262144                 69.19
524288                244.22
1048576               309.59
2097152               682.30

# OSU MPI Broadcast Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.47
2                       0.99
4                       0.97
8                       0.97
16                      0.97
32                      1.00
64                      1.01
128                     1.07
256                     1.49
512                     1.75
1024                    2.01
2048                    3.33
4096                    4.80
8192                    6.40
16384                   9.47
32768                  18.89
65536                  25.31
131072                 38.00
262144                 69.22
524288                244.20
1048576               309.16
2097152               678.39
