
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.84
2                      44.49
4                      44.39
8                      44.99
16                     46.23
32                     45.78
64                     46.70
128                    48.36
256                    59.74
512                    68.11
1024                   84.49
2048                  113.06
4096                  167.48
8192                  284.34
16384                 533.14
32768                 991.91
65536                2205.66
131072               4353.76
262144               9194.52
524288              19000.57
1048576             38289.25
2097152             76817.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.00
2                      44.62
4                      44.67
8                      45.15
16                     46.66
32                     46.01
64                     46.79
128                    48.37
256                    59.88
512                    68.21
1024                   84.49
2048                  113.07
4096                  167.10
8192                  283.79
16384                 524.01
32768                 985.52
65536                2217.46
131072               4349.20
262144               9172.47
524288              19027.94
1048576             38247.14
2097152             76725.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.84
2                      44.56
4                      44.52
8                      45.13
16                     46.38
32                     45.79
64                     46.89
128                    48.67
256                    59.85
512                    68.35
1024                   84.46
2048                  113.04
4096                  167.35
8192                  283.83
16384                 528.11
32768                 988.20
65536                2208.13
131072               4349.47
262144               9176.05
524288              18991.32
1048576             38300.18
2097152             76700.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.03
2                      44.53
4                      44.59
8                      45.04
16                     46.38
32                     45.81
64                     46.67
128                    48.51
256                    59.71
512                    68.12
1024                   84.29
2048                  112.86
4096                  166.68
8192                  283.37
16384                 524.06
32768                 983.44
65536                2201.95
131072               4347.98
262144               9158.23
524288              18969.66
1048576             38226.40
2097152             76690.05
