
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.03
2                       9.92
4                      10.07
8                      10.11
16                     10.59
32                     11.49
64                     13.73
128                    15.80
256                    19.62
512                    27.21
1024                   49.58
2048                   94.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.96
2                       8.46
4                       8.44
8                       8.63
16                      9.00
32                      9.97
64                     11.86
128                    14.66
256                    19.29
512                    27.22
1024                   49.93
2048                   94.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.14
2                       7.84
4                       7.91
8                       8.14
16                      8.53
32                      9.37
64                     11.38
128                    14.34
256                    19.16
512                    27.10
1024                   49.75
2048                   94.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.76
2                       8.28
4                       8.30
8                       8.76
16                      9.01
32                      9.73
64                     12.02
128                    14.76
256                    19.27
512                    27.15
1024                   50.15
2048                   94.82

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.64
2                       8.18
4                       8.19
8                       8.41
16                      8.88
32                      9.71
64                     11.58
128                    14.54
256                    19.21
512                    27.21
1024                   49.34
2048                   94.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.68
2                       8.32
4                       8.35
8                       8.53
16                      8.90
32                      9.70
64                     11.69
128                    14.49
256                    19.26
512                    27.20
1024                   49.91
2048                   94.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.53
2                       8.17
4                       8.18
8                       8.43
16                      8.82
32                      9.70
64                     11.54
128                    14.48
256                    19.36
512                    27.28
1024                   49.91
2048                   94.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.12
2                       7.86
4                       7.86
8                       8.11
16                      8.48
32                      9.37
64                     11.34
128                    14.32
256                    19.17
512                    27.17
1024                   49.85
2048                   94.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.73
2                       8.19
4                       8.32
8                       8.52
16                      8.84
32                      9.87
64                     11.60
128                    14.64
256                    19.33
512                    27.19
1024                   50.00
2048                   94.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.61
2                       8.44
4                       8.38
8                       8.53
16                      9.12
32                      9.75
64                     11.70
128                    14.48
256                    19.41
512                    27.20
1024                   50.12
2048                   95.06
