
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.92
2                      17.53
4                      17.78
8                      18.23
16                     18.56
32                     19.62
64                     21.12
128                    24.85
256                    30.13
512                    39.95
1024                   66.48
2048                  123.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.78
2                      17.60
4                      17.59
8                      18.00
16                     18.50
32                     19.64
64                     21.08
128                    24.88
256                    30.23
512                    39.97
1024                   66.58
2048                  124.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.43
2                      17.48
4                      17.41
8                      17.73
16                     18.29
32                     19.19
64                     21.48
128                    24.54
256                    30.15
512                    40.15
1024                   67.09
2048                  125.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.12
2                      17.25
4                      17.30
8                      17.59
16                     18.22
32                     19.06
64                     20.83
128                    24.43
256                    30.19
512                    39.94
1024                   67.08
2048                  124.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.39
2                      17.33
4                      17.56
8                      17.65
16                     18.28
32                     19.13
64                     20.96
128                    24.69
256                    30.10
512                    40.05
1024                   66.71
2048                  123.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.17
2                      17.21
4                      17.27
8                      17.62
16                     18.23
32                     19.04
64                     20.80
128                    24.47
256                    30.11
512                    39.97
1024                   66.96
2048                  124.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.18
2                      17.30
4                      17.52
8                      17.68
16                     18.34
32                     19.13
64                     21.33
128                    24.62
256                    30.18
512                    40.31
1024                   67.41
2048                  124.41

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.41
2                      17.36
4                      17.37
8                      17.72
16                     18.34
32                     19.20
64                     21.07
128                    24.55
256                    30.18
512                    40.37
1024                   67.02
2048                  124.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      20.15
2                      18.20
4                      18.41
8                      18.85
16                     19.17
32                     20.35
64                     21.93
128                    25.37
256                    30.69
512                    40.07
1024                   66.80
2048                  124.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.44
2                      17.45
4                      17.59
8                      18.27
16                     18.36
32                     19.32
64                     21.04
128                    24.77
256                    30.47
512                    40.11
1024                   67.31
2048                  124.39
