
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.58
2                     158.22
4                     159.55
8                     163.04
16                    157.97
32                    161.72
64                    165.55
128                   186.58
256                   198.72
512                   235.14
1024                  310.25
2048                  454.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.55
2                     158.17
4                     159.48
8                     163.07
16                    158.01
32                    161.70
64                    165.48
128                   183.93
256                   198.80
512                   235.21
1024                  310.26
2048                  454.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.44
2                     158.12
4                     159.42
8                     162.99
16                    157.98
32                    161.69
64                    165.50
128                   183.43
256                   198.64
512                   235.04
1024                  310.03
2048                  454.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.56
2                     158.14
4                     159.52
8                     163.05
16                    158.00
32                    161.70
64                    165.48
128                   184.83
256                   198.63
512                   234.87
1024                  309.11
2048                  453.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.52
2                     158.16
4                     159.43
8                     162.95
16                    157.89
32                    161.63
64                    165.45
128                   185.27
256                   198.46
512                   234.85
1024                  310.97
2048                  453.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.39
2                     158.08
4                     159.57
8                     163.05
16                    158.04
32                    161.70
64                    165.48
128                   184.11
256                   198.70
512                   234.81
1024                  310.03
2048                  454.42

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.44
2                     158.11
4                     159.48
8                     162.95
16                    157.91
32                    161.69
64                    165.44
128                   183.53
256                   198.60
512                   234.94
1024                  309.62
2048                  455.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.45
2                     158.14
4                     159.49
8                     162.98
16                    157.99
32                    161.73
64                    165.53
128                   183.72
256                   198.62
512                   235.10
1024                  310.30
2048                  454.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.53
2                     158.18
4                     159.49
8                     163.02
16                    158.03
32                    161.81
64                    165.48
128                   183.11
256                   198.58
512                   235.04
1024                  310.92
2048                  454.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.46
2                     158.34
4                     159.58
8                     163.10
16                    158.03
32                    161.65
64                    165.50
128                   182.89
256                   198.77
512                   235.12
1024                  309.84
2048                  454.78
