
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.18
2                      40.79
4                      41.56
8                      43.46
16                     41.43
32                     44.56
64                     48.53
128                    57.02
256                    78.52
512                   113.45
1024                  188.00
2048                  329.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.18
2                      40.81
4                      41.51
8                      43.41
16                     41.42
32                     44.57
64                     48.55
128                    57.06
256                    78.69
512                   113.52
1024                  188.17
2048                  329.73

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.17
2                      40.82
4                      41.55
8                      43.39
16                     41.43
32                     44.54
64                     48.48
128                    56.94
256                    78.59
512                   113.39
1024                  187.95
2048                  330.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.23
2                      40.82
4                      41.59
8                      43.47
16                     41.42
32                     44.57
64                     48.54
128                    56.96
256                    78.74
512                   113.37
1024                  188.27
2048                  330.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.18
2                      40.81
4                      41.60
8                      43.46
16                     41.40
32                     44.62
64                     48.55
128                    56.92
256                    78.71
512                   113.42
1024                  187.98
2048                  329.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.20
2                      40.83
4                      41.54
8                      43.46
16                     41.42
32                     44.54
64                     48.53
128                    56.94
256                    78.71
512                   113.49
1024                  188.03
2048                  330.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.17
2                      40.84
4                      41.61
8                      43.40
16                     41.45
32                     44.59
64                     48.55
128                    56.92
256                    78.60
512                   113.56
1024                  187.94
2048                  330.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.15
2                      40.73
4                      41.49
8                      43.34
16                     41.41
32                     44.53
64                     48.50
128                    56.97
256                    78.70
512                   113.38
1024                  187.89
2048                  330.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.23
2                      40.84
4                      41.69
8                      43.50
16                     41.50
32                     44.61
64                     48.59
128                    57.00
256                    78.65
512                   113.38
1024                  188.01
2048                  330.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.27
2                      40.87
4                      41.63
8                      43.41
16                     41.44
32                     44.62
64                     48.56
128                    56.99
256                    78.73
512                   113.40
1024                  188.10
2048                  329.93
