
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.25
2                      40.36
4                      41.14
8                      42.94
16                     40.98
32                     44.04
64                     47.94
128                    56.02
256                    76.86
512                   109.78
1024                  179.31
2048                  311.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.29
2                      40.40
4                      41.13
8                      43.01
16                     41.06
32                     44.08
64                     47.92
128                    56.00
256                    76.70
512                   109.88
1024                  179.04
2048                  310.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.28
2                      40.49
4                      41.08
8                      42.98
16                     41.04
32                     44.06
64                     47.91
128                    56.00
256                    76.83
512                   109.69
1024                  179.43
2048                  310.85

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.25
2                      40.45
4                      41.16
8                      43.03
16                     41.06
32                     44.10
64                     47.91
128                    56.09
256                    76.85
512                   109.73
1024                  179.47
2048                  311.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.38
2                      40.41
4                      41.15
8                      42.95
16                     41.04
32                     44.11
64                     47.90
128                    56.05
256                    76.79
512                   109.73
1024                  179.31
2048                  311.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.29
2                      40.47
4                      41.13
8                      43.04
16                     41.03
32                     44.13
64                     47.86
128                    56.03
256                    76.90
512                   109.86
1024                  179.31
2048                  310.94

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.29
2                      40.39
4                      41.08
8                      42.95
16                     40.98
32                     44.11
64                     47.91
128                    56.05
256                    76.90
512                   109.95
1024                  179.38
2048                  311.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.29
2                      40.45
4                      41.17
8                      42.99
16                     40.99
32                     44.04
64                     47.82
128                    55.99
256                    76.76
512                   109.78
1024                  179.16
2048                  311.03

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.37
2                      40.46
4                      41.17
8                      42.99
16                     41.07
32                     44.10
64                     47.94
128                    56.20
256                    76.83
512                   109.81
1024                  179.32
2048                  310.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.38
2                      40.48
4                      41.23
8                      43.09
16                     41.04
32                     44.18
64                     47.97
128                    56.11
256                    76.88
512                   109.63
1024                  179.28
2048                  311.17
