
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.79
2                      13.58
4                      13.96
8                      15.28
16                     16.82
32                     18.40
64                     21.78
128                    27.72
256                    45.35
512                    72.17
1024                  128.36
2048                  233.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.77
2                      13.46
4                      13.94
8                      15.20
16                     16.81
32                     18.35
64                     21.78
128                    27.65
256                    45.36
512                    72.02
1024                  128.51
2048                  233.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.75
2                      13.47
4                      13.98
8                      15.22
16                     16.80
32                     18.35
64                     21.79
128                    27.65
256                    45.43
512                    72.02
1024                  128.50
2048                  233.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.80
2                      13.52
4                      13.99
8                      15.23
16                     16.78
32                     18.36
64                     21.78
128                    27.72
256                    45.38
512                    72.05
1024                  128.46
2048                  233.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.87
2                      13.57
4                      13.98
8                      15.26
16                     16.75
32                     18.41
64                     21.79
128                    27.71
256                    45.28
512                    72.06
1024                  128.47
2048                  233.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.63
2                      13.51
4                      13.93
8                      15.22
16                     16.74
32                     18.35
64                     21.77
128                    27.66
256                    45.24
512                    71.99
1024                  128.40
2048                  232.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.83
2                      13.54
4                      14.01
8                      15.24
16                     16.77
32                     18.39
64                     21.77
128                    27.63
256                    45.42
512                    72.11
1024                  128.45
2048                  233.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.82
2                      13.48
4                      13.95
8                      15.22
16                     16.72
32                     18.29
64                     21.75
128                    27.63
256                    45.32
512                    72.11
1024                  128.29
2048                  233.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.76
2                      13.46
4                      14.00
8                      15.29
16                     16.74
32                     18.31
64                     21.74
128                    27.66
256                    45.36
512                    72.00
1024                  128.50
2048                  233.11

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.81
2                      13.52
4                      13.97
8                      15.30
16                     16.77
32                     18.38
64                     21.80
128                    27.69
256                    45.26
512                    72.02
1024                  128.37
2048                  233.42
