
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.80
2                      44.31
4                      44.40
8                      44.87
16                     46.26
32                     45.61
64                     46.45
128                    48.06
256                    59.23
512                    68.40
1024                   84.23
2048                  112.90
4096                  166.92
8192                  283.69
16384                 513.29
32768                 990.28
65536                2200.49
131072               4332.72
262144               9158.43
524288              19010.48
1048576             38318.12
2097152             77105.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.70
2                      44.24
4                      44.33
8                      44.84
16                     46.08
32                     45.43
64                     46.38
128                    48.08
256                    59.31
512                    68.64
1024                   84.47
2048                  113.02
4096                  166.90
8192                  284.07
16384                 514.04
32768                 988.44
65536                2198.54
131072               4329.13
262144               9172.54
524288              19021.24
1048576             38343.27
2097152             77068.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.85
2                      44.28
4                      44.41
8                      44.93
16                     46.10
32                     45.54
64                     46.28
128                    47.88
256                    59.26
512                    68.44
1024                   84.42
2048                  112.75
4096                  166.99
8192                  284.12
16384                 519.22
32768                 993.14
65536                2201.74
131072               4329.97
262144               9162.58
524288              18987.86
1048576             38328.03
2097152             76998.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.70
2                      44.21
4                      44.35
8                      44.76
16                     45.93
32                     45.47
64                     46.34
128                    47.89
256                    59.13
512                    68.15
1024                   84.11
2048                  112.68
4096                  166.72
8192                  283.08
16384                 513.18
32768                 992.72
65536                2220.39
131072               4327.10
262144               9163.57
524288              19011.77
1048576             38370.12
2097152             77047.55
