
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.68
2                      13.95
4                      14.37
8                      15.64
16                     17.15
32                     18.80
64                     22.28
128                    28.48
256                    47.32
512                    76.48
1024                  138.64
2048                  253.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.73
2                      13.99
4                      14.38
8                      15.71
16                     17.23
32                     18.84
64                     22.26
128                    28.48
256                    47.34
512                    76.51
1024                  138.73
2048                  253.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.71
2                      13.96
4                      14.43
8                      15.75
16                     17.25
32                     18.84
64                     22.27
128                    28.49
256                    47.35
512                    76.56
1024                  138.85
2048                  253.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.66
2                      13.93
4                      14.39
8                      15.69
16                     17.19
32                     18.83
64                     22.31
128                    28.52
256                    47.46
512                    76.71
1024                  138.92
2048                  253.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.62
2                      13.93
4                      14.43
8                      15.67
16                     17.19
32                     18.81
64                     22.32
128                    28.44
256                    47.32
512                    76.52
1024                  138.70
2048                  253.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.63
2                      13.95
4                      14.34
8                      15.71
16                     17.18
32                     18.77
64                     22.26
128                    28.50
256                    47.34
512                    76.51
1024                  138.76
2048                  253.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.62
2                      13.87
4                      14.38
8                      15.65
16                     17.16
32                     18.80
64                     22.30
128                    28.45
256                    47.35
512                    76.56
1024                  138.80
2048                  253.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.74
2                      13.97
4                      14.38
8                      15.67
16                     17.20
32                     18.81
64                     22.32
128                    28.47
256                    47.34
512                    76.61
1024                  138.95
2048                  253.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.70
2                      14.02
4                      14.44
8                      15.72
16                     17.19
32                     18.84
64                     22.31
128                    28.47
256                    47.38
512                    76.54
1024                  138.75
2048                  253.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.72
2                      13.91
4                      14.42
8                      15.68
16                     17.19
32                     18.81
64                     22.31
128                    28.45
256                    47.32
512                    76.54
1024                  138.94
2048                  253.93
