
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.84
2                      13.51
4                      13.97
8                      15.26
16                     16.78
32                     18.37
64                     21.83
128                    27.68
256                    45.40
512                    72.06
1024                  128.40
2048                  233.59

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.65
2                      13.51
4                      13.96
8                      15.21
16                     16.76
32                     18.36
64                     21.73
128                    27.69
256                    45.39
512                    72.11
1024                  128.55
2048                  233.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.66
2                      13.49
4                      13.91
8                      15.20
16                     16.67
32                     18.33
64                     21.77
128                    27.62
256                    45.19
512                    71.97
1024                  128.60
2048                  233.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.75
2                      13.49
4                      14.03
8                      15.28
16                     16.76
32                     18.41
64                     21.83
128                    27.70
256                    45.51
512                    72.04
1024                  128.53
2048                  232.88

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.77
2                      13.53
4                      13.99
8                      15.20
16                     16.78
32                     18.43
64                     21.79
128                    27.65
256                    45.37
512                    72.09
1024                  128.36
2048                  233.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.80
2                      13.47
4                      13.93
8                      15.21
16                     16.72
32                     18.31
64                     21.79
128                    27.63
256                    45.24
512                    71.95
1024                  128.33
2048                  233.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.87
2                      13.50
4                      13.96
8                      15.27
16                     16.86
32                     18.35
64                     21.80
128                    27.60
256                    45.27
512                    71.96
1024                  128.58
2048                  233.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.86
2                      13.47
4                      13.92
8                      15.20
16                     16.75
32                     18.34
64                     21.81
128                    27.68
256                    45.35
512                    71.98
1024                  128.11
2048                  232.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.59
2                      13.46
4                      13.90
8                      15.20
16                     16.70
32                     18.32
64                     21.80
128                    27.65
256                    45.41
512                    72.08
1024                  128.59
2048                  233.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.74
2                      13.48
4                      13.93
8                      15.27
16                     16.75
32                     18.32
64                     21.77
128                    27.70
256                    45.39
512                    71.99
1024                  128.46
2048                  232.92
