
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.90
2                     157.01
4                     157.39
8                     160.81
16                    158.92
32                    162.56
64                    167.01
128                   181.10
256                   200.50
512                   238.00
1024                  314.60
2048                  224.56
4096                  332.51
8192                  539.64
16384                1385.93
32768                2156.64
65536                3305.39
131072               6285.73
262144              12501.60
524288              24921.12
1048576             49947.85
2097152            100920.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.70
2                     156.86
4                     157.32
8                     160.79
16                    158.74
32                    162.45
64                    167.13
128                   182.46
256                   200.27
512                   237.88
1024                  314.07
2048                  223.96
4096                  330.46
8192                  539.57
16384                1386.45
32768                2156.20
65536                3304.73
131072               6261.49
262144              12461.27
524288              24864.07
1048576             49871.42
2097152            100697.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     160.11
2                     157.08
4                     157.48
8                     160.90
16                    159.01
32                    162.66
64                    167.26
128                   181.76
256                   200.68
512                   238.12
1024                  314.39
2048                  224.96
4096                  331.20
8192                  532.69
16384                1379.52
32768                2151.63
65536                3313.54
131072               6269.18
262144              12515.44
524288              24857.02
1048576             49922.54
2097152            100695.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     160.01
2                     157.06
4                     157.55
8                     160.90
16                    158.98
32                    162.63
64                    168.09
128                   181.18
256                   200.62
512                   238.02
1024                  314.43
2048                  224.23
4096                  330.94
8192                  539.25
16384                1380.90
32768                2154.26
65536                3327.81
131072               6284.95
262144              12514.24
524288              24875.68
1048576             49974.30
2097152            100768.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     160.08
2                     157.00
4                     157.48
8                     160.87
16                    158.98
32                    162.65
64                    167.13
128                   179.55
256                   200.41
512                   237.82
1024                  314.48
2048                  225.05
4096                  332.59
8192                  536.51
16384                1381.63
32768                2158.22
65536                3315.40
131072               6282.42
262144              12514.58
524288              24887.43
1048576             49999.59
2097152            100744.16

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.88
2                     156.84
4                     157.31
8                     160.85
16                    158.89
32                    162.59
64                    167.33
128                   179.84
256                   200.35
512                   237.95
1024                  314.56
2048                  224.48
4096                  331.85
8192                  537.06
16384                1379.74
32768                2155.38
65536                3316.04
131072               6270.77
262144              12427.93
524288              24904.41
1048576             49928.03
2097152            100706.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.80
2                     156.90
4                     157.30
8                     160.64
16                    158.88
32                    162.52
64                    167.25
128                   174.13
256                   200.31
512                   237.70
1024                  313.73
2048                  223.85
4096                  330.37
8192                  538.97
16384                1379.07
32768                2159.53
65536                3303.83
131072               6267.72
262144              12520.38
524288              24918.32
1048576             50074.07
2097152            100950.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.95
2                     156.88
4                     157.43
8                     160.96
16                    158.85
32                    162.47
64                    166.80
128                   182.43
256                   200.36
512                   237.92
1024                  314.97
2048                  224.30
4096                  332.06
8192                  534.52
16384                1383.60
32768                2153.93
65536                3325.67
131072               6277.14
262144              12475.94
524288              24933.61
1048576             50043.39
2097152            100928.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.74
2                     157.03
4                     157.42
8                     160.99
16                    158.87
32                    162.52
64                    167.07
128                   180.86
256                   200.49
512                   237.87
1024                  314.81
2048                  224.59
4096                  331.55
8192                  536.09
16384                1381.40
32768                2159.89
65536                3315.48
131072               6293.07
262144              12512.01
524288              24894.76
1048576             49974.32
2097152            101029.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.86
2                     156.91
4                     157.38
8                     160.90
16                    158.88
32                    162.52
64                    167.16
128                   179.64
256                   200.42
512                   237.93
1024                  314.48
2048                  224.84
4096                  332.45
8192                  540.58
16384                1382.13
32768                2156.52
65536                3312.32
131072               6293.55
262144              12448.16
524288              24954.27
1048576             50074.56
2097152            100698.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.86
2                     156.91
4                     157.28
8                     160.83
16                    158.83
32                    162.54
64                    168.99
128                   177.38
256                   200.49
512                   238.03
1024                  314.49
2048                  224.41
4096                  330.69
8192                  538.86
16384                1383.02
32768                2158.69
65536                3311.70
131072               6282.25
262144              12436.07
524288              24934.42
1048576             49816.37
2097152            100708.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     160.11
2                     156.89
4                     157.43
8                     160.82
16                    159.15
32                    162.73
64                    167.51
128                   179.55
256                   200.77
512                   237.88
1024                  315.10
2048                  225.08
4096                  331.92
8192                  538.54
16384                1384.71
32768                2156.04
65536                3321.72
131072               6276.58
262144              12451.93
524288              24909.95
1048576             49955.73
2097152            100665.15
