
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.23
2                      17.27
4                      17.37
8                      17.67
16                     18.29
32                     19.16
64                     20.89
128                    24.53
256                    30.12
512                    39.96
1024                   66.70
2048                  123.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.50
2                      17.34
4                      17.51
8                      17.83
16                     18.37
32                     19.20
64                     20.99
128                    24.61
256                    30.28
512                    40.21
1024                   67.03
2048                  123.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.32
2                      17.92
4                      17.84
8                      18.20
16                     18.81
32                     19.71
64                     21.33
128                    24.87
256                    30.31
512                    39.98
1024                   66.60
2048                  123.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.51
2                      17.42
4                      17.61
8                      18.08
16                     18.53
32                     19.33
64                     21.15
128                    24.88
256                    30.41
512                    40.06
1024                   67.60
2048                  123.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.29
2                      17.93
4                      17.84
8                      18.24
16                     18.62
32                     19.81
64                     21.54
128                    25.19
256                    30.63
512                    40.10
1024                   66.95
2048                  123.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.19
2                      17.39
4                      17.39
8                      17.67
16                     18.29
32                     19.11
64                     20.93
128                    24.49
256                    30.27
512                    40.07
1024                   66.56
2048                  123.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.21
2                      17.30
4                      17.50
8                      17.78
16                     18.33
32                     19.11
64                     20.97
128                    24.51
256                    30.18
512                    40.02
1024                   67.15
2048                  123.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.11
2                      17.31
4                      17.33
8                      17.70
16                     18.25
32                     19.09
64                     21.00
128                    24.52
256                    30.21
512                    40.12
1024                   67.08
2048                  123.63

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.68
2                      17.38
4                      17.39
8                      17.84
16                     18.33
32                     19.36
64                     21.05
128                    24.57
256                    30.18
512                    40.32
1024                   66.95
2048                  124.00

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.17
2                      17.39
4                      17.48
8                      17.79
16                     18.47
32                     19.21
64                     21.09
128                    24.72
256                    30.20
512                    40.00
1024                   67.00
2048                  123.44
