
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.16
2                      16.89
4                      16.93
8                      17.18
16                     17.79
32                     18.72
64                     20.37
128                    23.65
256                    28.23
512                    36.64
1024                   60.53
2048                  107.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.30
2                      16.97
4                      17.02
8                      17.23
16                     17.86
32                     18.74
64                     20.53
128                    23.66
256                    28.31
512                    36.87
1024                   60.47
2048                  106.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.93
2                      17.25
4                      17.26
8                      17.57
16                     18.13
32                     19.22
64                     20.63
128                    23.77
256                    28.30
512                    36.70
1024                   60.30
2048                  106.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.66
2                      17.91
4                      17.86
8                      18.24
16                     18.66
32                     19.89
64                     21.28
128                    24.57
256                    28.49
512                    36.84
1024                   60.41
2048                  106.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.54
2                      17.14
4                      17.09
8                      17.39
16                     18.01
32                     18.85
64                     20.63
128                    23.78
256                    28.44
512                    37.17
1024                   63.11
2048                  106.81

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.14
2                      16.84
4                      16.88
8                      17.16
16                     17.79
32                     18.62
64                     20.32
128                    23.59
256                    28.13
512                    36.67
1024                   59.81
2048                  106.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.14
2                      16.86
4                      16.86
8                      17.15
16                     17.77
32                     18.72
64                     20.39
128                    23.66
256                    28.34
512                    36.72
1024                   71.19
2048                  106.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.33
2                      16.94
4                      16.81
8                      17.33
16                     17.77
32                     18.61
64                     20.37
128                    23.52
256                    28.48
512                    36.69
1024                   60.67
2048                  106.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.22
2                      16.93
4                      16.89
8                      17.15
16                     17.86
32                     18.72
64                     20.35
128                    23.59
256                    28.22
512                    36.75
1024                   60.29
2048                  108.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.24
2                      16.99
4                      16.83
8                      17.27
16                     18.25
32                     19.08
64                     20.40
128                    23.59
256                    28.21
512                    36.77
1024                   60.28
2048                  106.26
