
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.08
2                      17.12
4                      17.07
8                      17.43
16                     18.09
32                     18.94
64                     20.61
128                    23.91
256                    28.70
512                    37.08
1024                   60.93
2048                  107.65
4096                 1147.98
8192                 1913.79
16384                4654.15
32768                8665.93
65536               15645.88
131072              25533.25
262144              46029.74
524288             104966.29
1048576            239688.95
2097152            446716.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.18
2                      17.11
4                      17.05
8                      17.55
16                     18.13
32                     19.02
64                     20.61
128                    24.01
256                    28.69
512                    36.97
1024                   60.93
2048                  107.72
4096                 1156.38
8192                 1919.45
16384                4710.94
32768                8621.33
65536               15732.60
131072              25649.63
262144              46028.57
524288             107869.59
1048576            241663.62
2097152            445227.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.86
2                      16.87
4                      16.88
8                      17.30
16                     17.85
32                     18.73
64                     20.55
128                    23.73
256                    28.60
512                    36.85
1024                   60.68
2048                  107.41
4096                 1144.36
8192                 1929.70
16384                4719.74
32768                8664.42
65536               15638.71
131072              25253.95
262144              45886.72
524288             103357.93
1048576            241310.54
2097152            445912.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.92
2                      16.96
4                      17.04
8                      17.37
16                     17.97
32                     18.89
64                     20.64
128                    23.80
256                    28.64
512                    36.96
1024                   60.90
2048                  107.40
4096                 1144.70
8192                 1917.12
16384                4676.97
32768                8617.41
65536               15753.00
131072              25396.95
262144              45907.07
524288             104290.74
1048576            240323.88
2097152            444772.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.89
2                      16.96
4                      16.94
8                      17.33
16                     17.93
32                     18.88
64                     20.63
128                    23.78
256                    28.68
512                    36.98
1024                   60.86
2048                  107.46
4096                 1141.69
8192                 1919.50
16384                4689.72
32768                8613.25
65536               15688.77
131072              25576.43
262144              46033.13
524288             108930.55
1048576            241621.41
2097152            443388.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.00
2                      16.92
4                      17.00
8                      17.43
16                     17.95
32                     18.92
64                     20.64
128                    23.84
256                    28.68
512                    36.95
1024                   60.80
2048                  107.36
4096                 1142.04
8192                 1924.71
16384                4730.46
32768                8647.77
65536               15749.70
131072              25364.97
262144              45884.09
524288             104555.09
1048576            239710.74
2097152            444240.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.27
2                      17.02
4                      17.14
8                      17.53
16                     18.06
32                     18.89
64                     20.73
128                    23.98
256                    28.68
512                    36.97
1024                   60.95
2048                  107.73
4096                 1144.38
8192                 1915.43
16384                4685.10
32768                8645.72
65536               15663.09
131072              25337.26
262144              45891.15
524288             106696.78
1048576            240738.07
2097152            442923.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.11
2                      16.91
4                      16.92
8                      17.34
16                     17.96
32                     18.77
64                     20.59
128                    23.94
256                    28.67
512                    36.91
1024                   60.81
2048                  107.38
4096                 1147.22
8192                 1925.48
16384                4716.15
32768                8647.11
65536               15718.23
131072              25294.85
262144              45798.70
524288             105916.77
1048576            241688.20
2097152            444532.67

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.96
2                      17.04
4                      17.47
8                      17.36
16                     18.01
32                     18.93
64                     20.91
128                    23.94
256                    28.64
512                    37.06
1024                   60.81
2048                  107.66
4096                 1160.99
8192                 1939.49
16384                4671.87
32768                8641.09
65536               15689.20
131072              25511.06
262144              45903.28
524288             106129.33
1048576            241453.42
2097152            442504.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.93
2                      16.93
4                      16.98
8                      17.33
16                     17.88
32                     18.83
64                     20.56
128                    23.81
256                    28.71
512                    36.93
1024                   61.06
2048                  107.64
4096                 1149.93
8192                 1933.43
16384                4662.27
32768                8666.20
65536               15632.38
131072              25482.67
262144              45938.35
524288             108577.69
1048576            241165.45
2097152            446385.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.94
2                      16.83
4                      16.86
8                      17.24
16                     17.83
32                     18.82
64                     20.46
128                    23.68
256                    28.64
512                    37.28
1024                   60.50
2048                  107.72
4096                 1144.69
8192                 1927.19
16384                4655.71
32768                8644.12
65536               15687.44
131072              25331.97
262144              45800.54
524288             106966.14
1048576            240536.18
2097152            443411.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.08
2                      16.99
4                      17.17
8                      17.76
16                     18.41
32                     19.36
64                     20.88
128                    24.17
256                    28.84
512                    37.74
1024                   61.82
2048                  107.86
4096                 1157.19
8192                 1920.37
16384                4708.33
32768                8633.27
65536               15684.33
131072              25329.37
262144              45974.09
524288             106712.13
1048576            241674.05
2097152            443563.17
