
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.74
2                      10.91
4                      11.73
8                      12.92
16                     14.01
32                     16.22
64                     20.81
128                    30.89
256                    46.64
512                    69.87
1024                  118.88
2048                  200.38
4096                  384.17
8192                  813.00
16384                3872.52
32768                8270.71
65536               16684.37
131072              35829.79
262144              74753.62
524288             147903.92
1048576            286693.15
2097152            595826.63

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.63
2                      10.91
4                      11.69
8                      12.84
16                     14.24
32                     16.30
64                     20.72
128                    30.83
256                    46.55
512                    70.29
1024                  118.83
2048                  200.51
4096                  379.33
8192                  810.49
16384                3961.87
32768                8397.89
65536               17297.90
131072              36178.81
262144              74771.02
524288             146608.66
1048576            286346.40
2097152            599503.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.65
2                      10.84
4                      11.72
8                      12.83
16                     13.99
32                     16.21
64                     20.69
128                    30.85
256                    46.67
512                    69.92
1024                  119.89
2048                  202.25
4096                  383.32
8192                  808.98
16384                3910.60
32768                8397.16
65536               16984.33
131072              35851.56
262144              74166.36
524288             145985.06
1048576            285675.65
2097152            599496.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.63
2                      10.99
4                      11.83
8                      12.85
16                     13.97
32                     16.19
64                     20.70
128                    30.96
256                    46.72
512                    69.96
1024                  119.95
2048                  201.72
4096                  381.37
8192                  808.00
16384                3973.89
32768                8328.54
65536               16882.53
131072              36254.74
262144              74444.18
524288             145873.36
1048576            285620.18
2097152            598516.81

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.67
2                      10.93
4                      11.73
8                      12.86
16                     14.15
32                     16.19
64                     20.73
128                    30.93
256                    47.20
512                    69.76
1024                  118.98
2048                  201.01
4096                  382.83
8192                  811.60
16384                3993.18
32768                8234.44
65536               16828.29
131072              36272.92
262144              74962.06
524288             147510.17
1048576            285788.42
2097152            599354.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.63
2                      10.92
4                      11.77
8                      13.13
16                     14.02
32                     16.27
64                     20.73
128                    31.10
256                    46.74
512                    70.02
1024                  119.88
2048                  201.81
4096                  381.05
8192                  810.93
16384                3940.23
32768                8261.20
65536               16457.67
131072              35857.45
262144              75169.96
524288             147370.75
1048576            287523.87
2097152            599925.11

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.70
2                      10.88
4                      11.71
8                      12.85
16                     13.99
32                     16.21
64                     20.68
128                    30.84
256                    46.51
512                    69.91
1024                  118.68
2048                  199.61
4096                  374.25
8192                  809.84
16384                3980.39
32768                8443.65
65536               16981.19
131072              36158.44
262144              74407.38
524288             146636.39
1048576            285317.57
2097152            599097.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.67
2                      10.93
4                      11.69
8                      12.87
16                     13.99
32                     16.21
64                     20.73
128                    30.86
256                    46.44
512                    70.09
1024                  119.31
2048                  201.32
4096                  380.97
8192                  808.62
16384                4004.79
32768                8450.54
65536               17238.20
131072              36207.64
262144              74219.66
524288             147526.50
1048576            286555.52
2097152            598904.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.64
2                      10.97
4                      11.69
8                      12.85
16                     13.97
32                     16.22
64                     20.66
128                    30.80
256                    46.67
512                    69.87
1024                  118.89
2048                  201.22
4096                  377.21
8192                  812.15
16384                3914.36
32768                8447.96
65536               17061.83
131072              35940.97
262144              75021.50
524288             145221.56
1048576            285850.43
2097152            599563.82

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.68
2                      10.93
4                      11.77
8                      12.89
16                     14.03
32                     16.22
64                     20.77
128                    30.89
256                    46.64
512                    69.78
1024                  118.68
2048                  200.55
4096                  380.24
8192                  814.23
16384                4089.28
32768                8407.01
65536               17181.04
131072              35881.99
262144              74185.06
524288             145544.86
1048576            287760.71
2097152            598014.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.67
2                      10.89
4                      11.74
8                      12.86
16                     14.02
32                     16.17
64                     20.64
128                    30.80
256                    46.50
512                    69.74
1024                  119.21
2048                  201.51
4096                  383.58
8192                  807.09
16384                4045.09
32768                8371.33
65536               16888.08
131072              35669.50
262144              75013.74
524288             146464.26
1048576            288112.92
2097152            600453.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.66
2                      11.16
4                      11.70
8                      12.84
16                     14.05
32                     16.20
64                     20.73
128                    30.84
256                    46.53
512                    70.14
1024                  118.91
2048                  200.93
4096                  378.32
8192                  813.89
16384                4012.73
32768                8403.58
65536               17118.53
131072              35873.34
262144              74559.86
524288             146341.33
1048576            286760.69
2097152            600428.53
