
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.01
2                      11.89
4                      12.53
8                      13.44
16                     14.60
32                     16.25
64                     18.94
128                    24.39
256                    38.61
512                    59.73
1024                   97.44
2048                  162.63
4096                  259.58
8192                  444.06
16384                1193.44
32768                5162.73
65536               10294.62
131072              22262.48
262144              47303.97
524288              95047.35
1048576            185181.99
2097152            368756.94

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.94
2                      11.82
4                      12.53
8                      13.34
16                     14.50
32                     16.08
64                     18.89
128                    24.25
256                    38.47
512                    59.83
1024                   97.34
2048                  163.66
4096                  260.41
8192                  443.67
16384                1197.16
32768                5175.89
65536               10303.14
131072              21515.84
262144              47319.90
524288              95057.03
1048576            185442.15
2097152            369028.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.93
2                      11.86
4                      12.48
8                      13.40
16                     14.55
32                     16.15
64                     18.92
128                    24.43
256                    38.64
512                    59.77
1024                   97.59
2048                  162.68
4096                  260.32
8192                  443.85
16384                1180.11
32768                5173.98
65536               10429.70
131072              22212.18
262144              47550.25
524288              95162.08
1048576            185146.97
2097152            367404.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.94
2                      11.83
4                      12.50
8                      13.39
16                     14.47
32                     16.11
64                     18.86
128                    24.32
256                    38.52
512                    59.57
1024                   97.24
2048                  162.40
4096                  259.25
8192                  445.79
16384                1199.04
32768                5187.30
65536               10431.02
131072              21845.28
262144              47468.14
524288              95137.55
1048576            185433.07
2097152            367140.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.05
2                      11.85
4                      12.48
8                      13.41
16                     14.50
32                     16.13
64                     18.87
128                    24.34
256                    38.59
512                    59.66
1024                   97.30
2048                  163.28
4096                  260.94
8192                  444.91
16384                1185.08
32768                5162.00
65536               10258.67
131072              22108.37
262144              47315.04
524288              95171.29
1048576            185583.25
2097152            367128.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.99
2                      11.81
4                      12.44
8                      13.34
16                     14.47
32                     16.03
64                     18.79
128                    24.24
256                    38.63
512                    59.52
1024                   97.14
2048                  163.03
4096                  261.89
8192                  446.92
16384                1179.88
32768                5222.03
65536               10394.01
131072              21261.92
262144              47416.67
524288              95353.57
1048576            185104.60
2097152            365719.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.89
2                      11.93
4                      12.51
8                      13.39
16                     14.58
32                     16.14
64                     18.99
128                    24.34
256                    38.76
512                    59.80
1024                   97.48
2048                  163.12
4096                  260.89
8192                  445.14
16384                1194.27
32768                5172.23
65536               10396.42
131072              22255.82
262144              47406.17
524288              95068.45
1048576            185283.07
2097152            366825.89

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.93
2                      11.83
4                      12.48
8                      13.39
16                     14.55
32                     16.17
64                     18.93
128                    24.49
256                    38.59
512                    59.75
1024                   97.57
2048                  162.94
4096                  260.79
8192                  444.72
16384                1183.62
32768                5170.16
65536               10408.11
131072              21871.12
262144              47433.21
524288              95281.60
1048576            185255.92
2097152            366648.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.91
2                      11.87
4                      12.63
8                      13.37
16                     14.58
32                     16.16
64                     18.97
128                    24.45
256                    38.64
512                    59.86
1024                   97.27
2048                  163.42
4096                  259.97
8192                  443.69
16384                1187.86
32768                5153.75
65536               10418.85
131072              21896.22
262144              47538.80
524288              95067.00
1048576            185408.88
2097152            367611.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.04
2                      11.88
4                      12.51
8                      13.40
16                     14.55
32                     16.23
64                     18.91
128                    24.39
256                    38.70
512                    59.64
1024                   97.56
2048                  163.08
4096                  260.03
8192                  444.40
16384                1192.17
32768                5205.70
65536               10392.95
131072              21808.67
262144              47460.08
524288              95214.91
1048576            185346.58
2097152            367458.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.98
2                      11.92
4                      12.46
8                      13.40
16                     14.53
32                     16.14
64                     18.99
128                    24.51
256                    38.63
512                    59.89
1024                   98.26
2048                  163.14
4096                  260.26
8192                  445.52
16384                1190.44
32768                5151.28
65536               10433.92
131072              21254.27
262144              47419.93
524288              95173.22
1048576            185262.57
2097152            366174.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.95
2                      11.83
4                      12.46
8                      13.39
16                     14.53
32                     16.13
64                     18.96
128                    24.23
256                    38.57
512                    59.75
1024                   96.99
2048                  162.83
4096                  261.42
8192                  444.51
16384                1187.59
32768                5165.23
65536               10479.04
131072              21601.00
262144              47536.73
524288              95064.32
1048576            185059.30
2097152            368156.64
