
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.89
2                      25.83
4                      23.72
8                      25.22
16                     28.49
32                     30.77
64                     31.61
128                    35.95
256                    46.70
512                    57.07
1024                   83.67
2048                  116.93
4096                  240.60
8192                  459.89
16384                 865.37
32768                1658.97
65536                3277.16
131072               6694.52
262144              14668.92
524288              31389.76
1048576             61960.39
2097152            146183.42

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.94
2                      23.71
4                      23.75
8                      25.25
16                     27.34
32                     31.57
64                     31.94
128                    35.82
256                    46.70
512                    57.64
1024                   83.19
2048                  116.20
4096                  241.80
8192                  456.70
16384                 860.84
32768                1657.21
65536                3285.14
131072               6681.01
262144              14605.08
524288              31370.96
1048576             61905.99
2097152            146406.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.94
2                      24.07
4                      23.69
8                      25.25
16                     27.45
32                     30.63
64                     32.86
128                    36.51
256                    46.56
512                    57.52
1024                   82.70
2048                  116.72
4096                  239.78
8192                  456.39
16384                 860.30
32768                1655.20
65536                3283.67
131072               6668.45
262144              14648.02
524288              31517.00
1048576             62002.28
2097152            146315.08

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.88
2                      23.73
4                      23.67
8                      25.27
16                     27.44
32                     30.50
64                     32.57
128                    35.88
256                    47.02
512                    57.61
1024                   82.61
2048                  116.03
4096                  239.23
8192                  454.51
16384                 854.16
32768                1657.37
65536                3251.95
131072               6586.72
262144              14634.69
524288              31380.71
1048576             61913.27
2097152            146268.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.90
2                      24.19
4                      23.92
8                      25.25
16                     27.32
32                     30.88
64                     31.63
128                    35.83
256                    48.61
512                    56.15
1024                   83.12
2048                  116.46
4096                  239.76
8192                  457.56
16384                 862.28
32768                1662.46
65536                3273.07
131072               6613.62
262144              14579.19
524288              31375.70
1048576             61869.57
2097152            146337.89
