
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.17
2                       8.40
4                       8.98
8                       9.59
16                     11.03
32                     12.59
64                     14.06
128                    41.86
256                    72.85
512                    47.63
1024                   51.47
2048                   58.52
4096                  123.91
8192                  302.20
16384                 700.18
32768                1324.90
65536                2669.34
131072               5588.70
262144              11901.82
524288              23720.71
1048576             46633.18
2097152            113949.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.23
2                       8.44
4                       8.93
8                       9.77
16                     11.31
32                     12.80
64                     14.11
128                    41.66
256                    73.31
512                    47.75
1024                   51.47
2048                   58.30
4096                  124.30
8192                  303.54
16384                 666.50
32768                1326.24
65536                2661.27
131072               5601.69
262144              11948.88
524288              23765.27
1048576             46621.24
2097152            113953.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.19
2                       8.44
4                       8.98
8                       9.54
16                     11.06
32                     12.63
64                     17.05
128                    41.77
256                    72.83
512                    47.46
1024                   50.72
2048                   58.03
4096                  123.46
8192                  303.73
16384                 671.86
32768                1327.51
65536                2666.49
131072               5576.57
262144              11906.88
524288              23744.19
1048576             46680.30
2097152            113976.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.61
2                       8.92
4                       9.35
8                       9.95
16                     11.53
32                     13.25
64                     14.57
128                    42.03
256                    72.90
512                    47.18
1024                   50.93
2048                   58.28
4096                  124.08
8192                  304.36
16384                 714.94
32768                1318.62
65536                2655.95
131072               5602.03
262144              11943.10
524288              23754.73
1048576             46674.41
2097152            113966.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.67
2                       8.88
4                       9.47
8                      10.00
16                     11.35
32                     12.90
64                     14.09
128                    41.72
256                    72.88
512                    47.19
1024                   51.13
2048                   58.16
4096                  124.02
8192                  304.59
16384                 734.71
32768                1330.15
65536                2668.42
131072               5596.78
262144              11970.76
524288              23846.96
1048576             49202.34
2097152            113960.81
