
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.12
2                      13.07
4                      12.44
8                      13.34
16                     15.30
32                     17.14
64                     18.86
128                    21.28
256                    25.78
512                    28.00
1024                   40.62
2048                   63.54
4096                  133.26
8192                  321.19
16384                 693.77
32768                1391.55
65536                2731.05
131072               5509.01
262144              12175.17
524288              24648.94
1048576             94581.25
2097152            121711.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.13
2                      13.17
4                      12.42
8                      13.39
16                     15.48
32                     17.38
64                     18.86
128                    21.28
256                    25.91
512                    28.07
1024                   40.69
2048                   63.51
4096                  132.51
8192                  319.86
16384                 686.17
32768                1384.52
65536                2730.47
131072               5504.95
262144              12156.37
524288              24696.01
1048576             49672.24
2097152            121670.84

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.24
2                      13.29
4                      12.52
8                      13.40
16                     15.55
32                     17.30
64                     19.19
128                    21.37
256                    25.95
512                    27.88
1024                   40.59
2048                   63.31
4096                  131.96
8192                  318.64
16384                 683.69
32768                1393.52
65536                2729.41
131072               5501.09
262144              12153.46
524288              24673.86
1048576             49709.31
2097152            121839.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.11
2                      13.11
4                      12.42
8                      13.36
16                     15.27
32                     17.15
64                     18.69
128                    21.34
256                    25.59
512                    27.82
1024                   40.50
2048                   63.49
4096                  132.20
8192                  320.42
16384                 682.31
32768                1381.48
65536                2733.06
131072               5492.16
262144              12168.04
524288              24645.63
1048576             49677.74
2097152            121744.89

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.21
2                      13.09
4                      12.53
8                      13.37
16                     15.26
32                     17.18
64                     18.84
128                    21.22
256                    25.72
512                    27.81
1024                   40.93
2048                   63.42
4096                  132.12
8192                  320.25
16384                 683.59
32768                1380.40
65536                2730.08
131072               5509.71
262144              12158.99
524288              24662.83
1048576             49686.36
2097152            121643.29
