
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.50
2                      13.48
4                      14.49
8                      15.52
16                     16.39
32                     19.85
64                     21.84
128                    25.98
256                    34.79
512                    47.03
1024                   78.81
2048                  120.89
4096                  243.86
8192                  466.78
16384                 866.93
32768                1710.76
65536                3413.08
131072               7016.58
262144              15614.19
524288              33155.45
1048576             64891.15
2097152            152323.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.63
2                      13.49
4                      15.16
8                      14.60
16                     16.33
32                     19.73
64                     21.08
128                    25.38
256                    35.04
512                    47.04
1024                   78.65
2048                  120.48
4096                  242.55
8192                  468.75
16384                 877.46
32768                1709.29
65536                3452.17
131072               7036.50
262144              15584.79
524288              33191.72
1048576             64955.51
2097152            152271.89

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.57
2                      14.19
4                      13.36
8                      15.60
16                     16.36
32                     20.67
64                     20.81
128                    25.35
256                    34.98
512                    46.94
1024                   78.52
2048                  121.24
4096                  243.99
8192                  466.50
16384                 865.92
32768                1713.02
65536                3436.94
131072               7026.70
262144              15649.57
524288              33172.55
1048576             64872.34
2097152            152426.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.58
2                      13.47
4                      13.38
8                      14.73
16                     16.30
32                     20.56
64                     21.84
128                    25.61
256                    35.61
512                    47.90
1024                   78.64
2048                  120.76
4096                  243.32
8192                  467.64
16384                 870.31
32768                1706.96
65536                3425.67
131072               7047.56
262144              15603.97
524288              33108.10
1048576             64930.84
2097152            152417.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.59
2                      14.51
4                      15.17
8                      14.60
16                     16.29
32                     19.74
64                     20.80
128                    25.40
256                    34.11
512                    47.01
1024                   78.48
2048                  120.51
4096                  242.60
8192                  464.33
16384                 866.65
32768                1708.06
65536                3407.69
131072               7008.59
262144              15641.82
524288              33178.65
1048576             64834.55
2097152            152289.78
