
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.30
2                       9.84
4                      10.11
8                      10.84
16                     11.69
32                     12.48
64                     14.09
128                    17.72
256                    23.75
512                    37.18
1024                   70.23
2048                  158.42
4096                  310.73
8192                  446.28
16384                 762.30
32768                1184.54
65536                1951.69
131072               3899.67
262144               7959.72
524288              16421.80
1048576             32683.34
2097152             64258.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.38
2                      10.52
4                      10.16
8                      10.89
16                     11.69
32                     12.51
64                     14.26
128                    17.71
256                    23.72
512                    37.43
1024                   69.97
2048                  156.05
4096                  306.55
8192                  447.38
16384                 742.89
32768                1181.14
65536                1953.80
131072               3904.66
262144               7965.07
524288              16417.64
1048576             32717.69
2097152             64442.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.48
2                       9.82
4                      10.15
8                      10.94
16                     11.76
32                     12.54
64                     14.14
128                    18.52
256                    24.56
512                    37.24
1024                   69.83
2048                  158.30
4096                  309.97
8192                  446.71
16384                 750.95
32768                1200.78
65536                1950.73
131072               3908.33
262144               7961.53
524288              16409.00
1048576             32707.69
2097152             64552.98
