
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.57
2                      11.44
4                      11.11
8                      11.88
16                     12.47
32                     13.10
64                     15.16
128                    17.90
256                    24.05
512                    40.47
1024                   66.82
2048                   98.05
4096                  139.26
8192                  239.63
16384                 453.07
32768                1014.31
65536                2330.86
131072               8341.94
262144              16450.45
524288              28790.91
1048576             46707.34
2097152             78998.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.54
2                      10.68
4                      11.06
8                      11.72
16                     12.38
32                     13.06
64                     14.39
128                    17.95
256                    24.18
512                    40.29
1024                   67.33
2048                   98.04
4096                  139.58
8192                  240.81
16384                 454.36
32768                1014.54
65536                2329.40
131072               8348.05
262144              16433.87
524288              28756.42
1048576             46702.26
2097152             79137.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.74
2                      11.46
4                      11.09
8                      11.78
16                     12.41
32                     13.13
64                     15.16
128                    17.97
256                    24.20
512                    39.16
1024                   67.13
2048                   97.83
4096                  139.18
8192                  240.13
16384                 452.14
32768                1015.44
65536                2334.69
131072               8330.48
262144              16458.56
524288              28849.70
1048576             46763.13
2097152             79690.59
[mpiexec@ns01] Sending Ctrl-C to processes as requested
[mpiexec@ns01] Press Ctrl-C again to force abort
