
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.19
2                      27.40
4                      27.67
8                      29.72
16                     29.01
32                     33.68
64                     40.86
128                    53.51
256                    62.92
512                    68.98
1024                   90.24
2048                  126.92
4096                  249.95
8192                  440.17
16384                 938.37
32768                2146.83
65536                4555.88
131072              13931.71
262144              28146.40
524288              51968.14
1048576             89715.63
2097152            159837.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.33
2                      28.23
4                      27.74
8                      28.93
16                     29.04
32                     33.69
64                     41.02
128                    53.98
256                    63.07
512                    68.78
1024                   90.50
2048                  127.13
4096                  249.58
8192                  439.20
16384                 925.39
32768                2142.17
65536                4549.56
131072              13934.62
262144              28182.59
524288              51984.85
1048576             89460.97
2097152            159711.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.42
2                      27.93
4                      27.76
8                      28.94
16                     28.95
32                     33.86
64                     42.23
128                    53.86
256                    63.14
512                    69.81
1024                   90.52
2048                  127.69
4096                  249.45
8192                  442.47
16384                 931.58
32768                2158.46
65536                4537.10
131072              13922.73
262144              28132.10
524288              51901.24
1048576             89545.59
2097152            159626.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.22
2                      27.45
4                      27.84
8                      28.88
16                     29.06
32                     34.34
64                     40.14
128                    54.85
256                    63.27
512                    69.12
1024                   90.50
2048                  126.46
4096                  248.54
8192                  439.59
16384                 934.70
32768                2144.89
65536                4529.83
131072              13935.36
262144              28137.90
524288              51950.52
1048576             88750.67
2097152            157661.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.15
2                      27.35
4                      27.67
8                      29.39
16                     29.03
32                     33.59
64                     41.26
128                    53.95
256                    64.13
512                    69.16
1024                   90.29
2048                  127.22
4096                  248.89
8192                  440.54
16384                 932.53
32768                2157.03
65536                4529.50
131072              13931.54
262144              28171.02
524288              51960.16
1048576             89727.16
2097152            160897.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.04
2                      27.33
4                      28.73
8                      29.57
16                     28.95
32                     33.63
64                     40.06
128                    53.34
256                    63.40
512                    68.99
1024                   90.18
2048                  126.84
4096                  248.89
8192                  436.93
16384                 928.62
32768                2134.34
65536                4518.21
131072              13908.63
262144              28141.13
524288              51920.07
1048576             89119.51
2097152            158854.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.17
2                      27.42
4                      27.81
8                      28.82
16                     28.95
32                     33.87
64                     39.92
128                    54.96
256                    63.25
512                    69.75
1024                   91.52
2048                  126.83
4096                  249.05
8192                  437.84
16384                 928.14
32768                2138.49
65536                4538.86
131072              13951.64
262144              28172.50
524288              51858.51
1048576             89329.32
2097152            158983.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.32
2                      27.42
4                      28.89
8                      28.89
16                     28.92
32                     33.69
64                     42.02
128                    53.95
256                    63.34
512                    69.19
1024                   91.37
2048                  128.77
4096                  248.96
8192                  436.72
16384                 932.94
32768                2140.85
65536                4522.36
131072              13910.30
262144              28168.08
524288              51973.77
1048576             89369.24
2097152            158836.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.24
2                      27.35
4                      28.10
8                      29.95
16                     29.05
32                     33.68
64                     40.21
128                    54.45
256                    63.09
512                    69.10
1024                   90.02
2048                  126.58
4096                  248.41
8192                  436.60
16384                 929.07
32768                2136.91
65536                4527.80
131072              13923.70
262144              28157.37
524288              51906.71
1048576             89570.52
2097152            160954.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.14
2                      27.37
4                      28.47
8                      28.84
16                     29.07
32                     33.50
64                     41.02
128                    54.27
256                    63.29
512                    70.10
1024                   90.02
2048                  126.81
4096                  248.89
8192                  441.36
16384                 930.23
32768                2137.49
65536                4506.91
131072              13904.83
262144              28161.13
524288              51941.31
1048576             89447.11
2097152            159658.36
