
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.54
2                      22.54
4                      22.40
8                      23.43
16                     24.68
32                     26.36
64                     28.87
128                    31.42
256                    37.92
512                    56.23
1024                   83.67
2048                  116.88
4096                  170.22
8192                  303.36
16384                 577.68
32768                1095.57
65536                2137.42
131072               4283.70
262144               8982.75
524288              18968.46
1048576             37672.88
2097152             74405.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.48
2                      22.63
4                      22.42
8                      23.45
16                     24.68
32                     26.27
64                     28.91
128                    31.56
256                    38.09
512                    55.38
1024                   83.63
2048                  116.74
4096                  170.53
8192                  302.82
16384                 574.76
32768                1094.88
65536                2128.48
131072               4281.28
262144               9006.75
524288              18925.25
1048576             37620.44
2097152             74306.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.65
2                      22.55
4                      22.37
8                      24.15
16                     24.72
32                     26.26
64                     29.10
128                    31.51
256                    38.12
512                    54.27
1024                   83.63
2048                  116.87
4096                  170.19
8192                  303.79
16384                 575.60
32768                1093.98
65536                2120.13
131072               4298.28
262144               8926.32
524288              18893.75
1048576             37580.30
2097152             74197.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.25
2                      22.48
4                      22.34
8                      23.38
16                     24.52
32                     26.24
64                     28.55
128                    31.75
256                    38.04
512                    53.99
1024                   83.62
2048                  116.63
4096                  169.15
8192                  301.63
16384                 575.10
32768                1090.14
65536                2122.59
131072               4241.10
262144               8942.77
524288              18880.60
1048576             37566.35
2097152             74358.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.38
2                      22.51
4                      22.44
8                      23.59
16                     24.51
32                     26.33
64                     28.39
128                    31.43
256                    37.77
512                    53.95
1024                   83.29
2048                  116.76
4096                  170.66
8192                  302.77
16384                 574.88
32768                1102.57
65536                2127.75
131072               4295.42
262144               8960.51
524288              18907.34
1048576             37639.44
2097152             74230.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.46
2                      22.54
4                      22.38
8                      23.42
16                     24.60
32                     26.08
64                     28.60
128                    31.80
256                    37.90
512                    54.07
1024                   83.82
2048                  116.63
4096                  168.81
8192                  301.60
16384                 572.30
32768                1091.17
65536                2123.49
131072               4261.10
262144               8954.41
524288              18953.68
1048576             37517.18
2097152             74367.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.34
2                      22.54
4                      22.40
8                      23.41
16                     24.62
32                     26.39
64                     28.85
128                    31.42
256                    37.88
512                    54.07
1024                   83.55
2048                  116.61
4096                  170.21
8192                  301.75
16384                 574.31
32768                1088.06
65536                2113.16
131072               4256.07
262144               8942.43
524288              18886.34
1048576             37596.55
2097152             74319.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.49
2                      22.55
4                      22.43
8                      23.43
16                     24.68
32                     26.44
64                     29.07
128                    31.61
256                    38.87
512                    54.06
1024                   83.55
2048                  116.68
4096                  170.02
8192                  302.49
16384                 576.22
32768                1089.35
65536                2116.99
131072               4264.35
262144               8963.66
524288              18907.17
1048576             37613.07
2097152             74525.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.42
2                      22.56
4                      22.38
8                      23.37
16                     24.56
32                     26.15
64                     28.42
128                    31.47
256                    37.76
512                    55.55
1024                   83.79
2048                  116.66
4096                  170.15
8192                  302.74
16384                 575.72
32768                1089.94
65536                2122.48
131072               4263.93
262144               8953.46
524288              18922.56
1048576             37677.43
2097152             74502.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.46
2                      22.70
4                      22.39
8                      23.37
16                     24.62
32                     26.35
64                     28.91
128                    31.70
256                    38.08
512                    54.11
1024                   83.95
2048                  116.72
4096                  170.34
8192                  302.93
16384                 574.42
32768                1089.94
65536                2130.23
131072               4279.97
262144               8943.00
524288              18889.20
1048576             37617.92
2097152             74217.39
