
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.34
2                      23.63
4                      23.57
8                      24.44
16                     24.34
32                     26.16
64                     30.38
128                    40.87
256                    55.33
512                    71.73
1024                   84.75
2048                  115.78
4096                  167.62
8192                  278.44
16384                 517.21
32768                1145.81
65536                2605.49
131072               8724.44
262144              17601.07
524288              31054.57
1048576             51364.81
2097152             88114.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.43
2                      23.62
4                      23.61
8                      24.46
16                     24.40
32                     26.40
64                     30.43
128                    40.50
256                    55.03
512                    71.30
1024                   84.39
2048                  116.11
4096                  168.14
8192                  279.72
16384                 520.11
32768                1143.64
65536                2605.06
131072               8726.47
262144              17589.82
524288              31048.48
1048576             51069.58
2097152             87622.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.36
2                      23.60
4                      23.60
8                      24.41
16                     24.30
32                     26.33
64                     30.44
128                    41.05
256                    55.24
512                    71.74
1024                   84.63
2048                  115.66
4096                  167.00
8192                  278.37
16384                 520.09
32768                1145.39
65536                2599.15
131072               8717.26
262144              17616.40
524288              31047.23
1048576             51334.61
2097152             88532.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.58
2                      23.74
4                      23.71
8                      24.61
16                     24.51
32                     26.47
64                     30.65
128                    41.64
256                    55.40
512                    71.87
1024                   84.92
2048                  115.75
4096                  167.55
8192                  279.32
16384                 518.27
32768                1144.35
65536                2638.49
131072               8750.89
262144              17604.84
524288              31070.00
1048576             51243.71
2097152             87900.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.46
2                      23.65
4                      23.65
8                      24.58
16                     24.54
32                     26.41
64                     30.56
128                    41.40
256                    55.43
512                    70.98
1024                   84.46
2048                  115.95
4096                  167.93
8192                  278.87
16384                 516.56
32768                1146.87
65536                2640.78
131072               8726.32
262144              17604.15
524288              31027.12
1048576             51501.67
2097152             88950.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.70
2                      23.68
4                      23.81
8                      24.78
16                     24.46
32                     26.43
64                     30.54
128                    41.53
256                    55.07
512                    71.16
1024                   85.34
2048                  115.79
4096                  168.03
8192                  278.94
16384                 517.39
32768                1144.91
65536                2616.92
131072               8713.13
262144              17596.79
524288              31048.20
1048576             51259.28
2097152             87646.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.28
2                      23.65
4                      23.67
8                      24.45
16                     24.44
32                     26.35
64                     30.37
128                    40.54
256                    55.23
512                    71.34
1024                   84.93
2048                  115.95
4096                  167.68
8192                  278.78
16384                 518.87
32768                1145.83
65536                2651.16
131072               8738.48
262144              17626.30
524288              31094.93
1048576             51398.40
2097152             88919.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.41
2                      23.69
4                      23.74
8                      24.57
16                     24.43
32                     26.33
64                     30.57
128                    40.69
256                    55.30
512                    70.42
1024                   85.10
2048                  115.79
4096                  168.79
8192                  279.24
16384                 517.68
32768                1140.76
65536                2622.18
131072               8760.61
262144              17606.95
524288              31015.20
1048576             51371.51
2097152             87969.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.45
2                      23.63
4                      23.59
8                      24.47
16                     24.31
32                     26.20
64                     30.50
128                    40.89
256                    55.86
512                    69.86
1024                   84.89
2048                  115.67
4096                  167.71
8192                  279.35
16384                 517.03
32768                1146.12
65536                2585.67
131072               8721.35
262144              17584.95
524288              31073.50
1048576             50818.22
2097152             88228.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.39
2                      23.63
4                      23.79
8                      24.56
16                     24.40
32                     26.39
64                     30.66
128                    41.65
256                    55.79
512                    71.28
1024                   84.91
2048                  115.68
4096                  167.84
8192                  278.82
16384                 518.18
32768                1148.31
65536                2629.34
131072               8721.45
262144              17583.07
524288              31049.78
1048576             51287.99
2097152             87920.53
