
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.15
2                      13.15
4                      12.65
8                      13.39
16                     15.32
32                     17.28
64                     18.98
128                    21.17
256                    25.46
512                    27.81
1024                   40.49
2048                   63.39
4096                  132.23
8192                  318.37
16384                 683.28
32768                1371.18
65536                2727.30
131072               5516.73
262144              12124.60
524288              24689.35
1048576             49639.71
2097152             99677.94

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.13
2                      13.13
4                      12.51
8                      13.39
16                     15.24
32                     17.15
64                     18.78
128                    21.11
256                    25.52
512                    27.79
1024                   40.28
2048                   63.16
4096                  132.01
8192                  317.99
16384                 685.03
32768                1366.64
65536                2718.50
131072               5524.86
262144              12123.98
524288              24734.45
1048576             49645.34
2097152             99739.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.10
2                      13.16
4                      12.53
8                      13.43
16                     15.37
32                     17.34
64                     18.97
128                    21.15
256                    25.40
512                    27.88
1024                   40.48
2048                   63.61
4096                  132.15
8192                  320.21
16384                 687.32
32768                1367.89
65536                2725.46
131072               5522.75
262144              12090.71
524288              24652.23
1048576             49619.71
2097152             99563.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.18
2                      13.15
4                      12.52
8                      13.43
16                     15.39
32                     17.38
64                     18.81
128                    21.13
256                    25.38
512                    27.82
1024                   40.53
2048                   63.45
4096                  131.71
8192                  317.59
16384                 678.31
32768                1359.16
65536                2711.51
131072               5509.43
262144              12080.68
524288              24652.26
1048576             49589.33
2097152             99608.11

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.45
2                      13.26
4                      12.69
8                      13.58
16                     15.39
32                     17.41
64                     19.00
128                    21.32
256                    25.55
512                    27.84
1024                   40.64
2048                   63.53
4096                  131.96
8192                  318.21
16384                 681.43
32768                1359.33
65536                2716.67
131072               5527.90
262144              12139.37
524288              24685.10
1048576             49606.49
2097152             99599.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.40
2                      13.23
4                      12.60
8                      13.51
16                     15.70
32                     17.93
64                     19.35
128                    21.78
256                    25.72
512                    27.85
1024                   40.67
2048                   63.41
4096                  131.79
8192                  317.24
16384                 680.26
32768                1362.10
65536                2711.25
131072               5490.03
262144              12113.14
524288              24646.06
1048576             49585.97
2097152             99644.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.62
2                      13.48
4                      12.74
8                      13.62
16                     15.87
32                     17.90
64                     19.78
128                    21.74
256                    25.91
512                    27.91
1024                   40.91
2048                   64.03
4096                  132.81
8192                  320.16
16384                 684.51
32768                1367.22
65536                2721.96
131072               5524.13
262144              12132.58
524288              24665.36
1048576             49598.44
2097152             99622.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.17
2                      13.06
4                      12.47
8                      13.31
16                     15.25
32                     17.18
64                     18.70
128                    21.38
256                    25.43
512                    27.80
1024                   40.44
2048                   63.79
4096                  132.71
8192                  320.04
16384                 685.78
32768                1372.83
65536                2742.81
131072               5521.60
262144              12096.12
524288              24661.63
1048576             49625.55
2097152             99628.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.41
2                      13.19
4                      12.56
8                      13.44
16                     15.35
32                     17.29
64                     19.00
128                    21.32
256                    25.73
512                    27.83
1024                   40.76
2048                   63.72
4096                  132.08
8192                  318.56
16384                 682.70
32768                1367.95
65536                2725.68
131072               5528.75
262144              12121.84
524288              24673.78
1048576             49652.87
2097152             99648.67

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.40
2                      13.39
4                      12.66
8                      13.58
16                     15.76
32                     18.11
64                     19.53
128                    21.99
256                    25.93
512                    27.68
1024                   40.36
2048                   63.40
4096                  132.15
8192                  318.60
16384                 682.35
32768                1365.80
65536                2721.19
131072               5555.23
262144              12114.45
524288              24687.10
1048576             49626.71
2097152             99663.75
