
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.39
2                      14.80
4                      14.27
8                      14.47
16                     14.85
32                     19.41
64                     24.74
128                    37.70
256                    53.30
512                    41.45
1024                   41.65
2048                   62.22
4096                  119.53
8192                  268.25
16384                 629.96
32768                1670.08
65536                3723.97
131072              12110.37
262144              24382.10
524288              42429.88
1048576             71840.37
2097152            123869.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.23
2                      14.55
4                      14.18
8                      14.66
16                     14.82
32                     19.28
64                     24.63
128                    37.78
256                    54.54
512                    41.75
1024                   41.69
2048                   62.43
4096                  118.78
8192                  266.73
16384                 624.83
32768                1661.46
65536                3721.55
131072              12106.54
262144              24382.98
524288              42461.57
1048576             71663.74
2097152            123741.82

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.23
2                      14.81
4                      14.28
8                      14.52
16                     14.79
32                     19.36
64                     24.66
128                    37.36
256                    54.02
512                    41.23
1024                   41.70
2048                   62.23
4096                  118.45
8192                  267.64
16384                 628.99
32768                1660.22
65536                3720.19
131072              12128.45
262144              24394.48
524288              42393.91
1048576             71416.16
2097152            124344.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.32
2                      14.57
4                      14.26
8                      14.41
16                     14.74
32                     19.48
64                     24.71
128                    37.62
256                    54.13
512                    41.33
1024                   41.68
2048                   62.20
4096                  118.99
8192                  268.36
16384                 626.56
32768                1662.28
65536                3714.08
131072              12123.08
262144              24397.84
524288              42369.57
1048576             71318.45
2097152            123232.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.50
2                      14.73
4                      14.41
8                      14.52
16                     14.80
32                     19.36
64                     24.70
128                    37.47
256                    54.10
512                    41.49
1024                   41.90
2048                   62.61
4096                  119.09
8192                  268.03
16384                 624.88
32768                1655.68
65536                3702.80
131072              12095.13
262144              24344.48
524288              42409.39
1048576             71378.22
2097152            124121.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.82
2                      14.78
4                      14.42
8                      14.66
16                     15.22
32                     20.02
64                     25.42
128                    37.99
256                    54.43
512                    40.96
1024                   41.73
2048                   62.10
4096                  118.77
8192                  268.90
16384                 626.37
32768                1659.01
65536                3728.28
131072              12083.93
262144              24372.28
524288              42429.27
1048576             71866.47
2097152            124735.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.78
2                      14.92
4                      14.48
8                      14.76
16                     15.19
32                     20.37
64                     25.44
128                    37.49
256                    55.30
512                    41.13
1024                   41.83
2048                   62.30
4096                  119.24
8192                  268.61
16384                 624.94
32768                1658.11
65536                3716.13
131072              12118.50
262144              24354.52
524288              42308.20
1048576             71256.61
2097152            123311.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.25
2                      14.54
4                      14.21
8                      14.38
16                     14.72
32                     19.38
64                     24.54
128                    37.26
256                    54.46
512                    41.71
1024                   41.66
2048                   62.21
4096                  118.27
8192                  266.50
16384                 627.51
32768                1650.04
65536                3709.28
131072              12123.37
262144              24370.64
524288              42405.47
1048576             71409.69
2097152            123257.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.24
2                      14.51
4                      14.22
8                      14.43
16                     15.19
32                     19.27
64                     24.74
128                    37.00
256                    53.16
512                    41.29
1024                   41.83
2048                   62.17
4096                  119.41
8192                  268.07
16384                 624.97
32768                1661.82
65536                3711.95
131072              12140.60
262144              24378.03
524288              42411.70
1048576             71303.64
2097152            122305.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.33
2                      14.68
4                      14.37
8                      14.52
16                     14.88
32                     19.49
64                     24.89
128                    37.94
256                    54.44
512                    41.40
1024                   41.63
2048                   62.24
4096                  118.30
8192                  267.47
16384                 623.17
32768                1645.49
65536                3698.22
131072              12103.27
262144              24319.00
524288              42334.91
1048576             71320.55
2097152            123319.45
