
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.05
2                       8.34
4                       9.52
8                      10.47
16                     11.72
32                     10.59
64                     12.61
128                    15.85
256                    21.93
512                    31.37
1024                   56.97
2048                  107.05
4096                  228.88
8192                  411.58
16384                1600.80
32768                2496.82
65536                4232.46
131072               8079.30
262144              15880.22
524288              31904.87
1048576             66053.25
2097152            135815.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.90
2                       8.17
4                       9.27
8                      10.53
16                     11.75
32                     10.46
64                     12.29
128                    15.73
256                    21.82
512                    31.38
1024                   57.12
2048                  107.98
4096                  228.33
8192                  412.46
16384                1591.57
32768                2544.31
65536                4229.02
131072               8104.98
262144              15858.38
524288              31953.12
1048576             66116.00
2097152            136137.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.98
2                       8.23
4                       9.25
8                      10.53
16                     11.74
32                     10.65
64                     12.58
128                    15.94
256                    21.87
512                    31.18
1024                   57.18
2048                  107.26
4096                  226.68
8192                  397.99
16384                1594.12
32768                2547.62
65536                4232.25
131072               8065.02
262144              15910.98
524288              32066.73
1048576             66183.81
2097152            136160.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.01
2                       8.24
4                       9.32
8                      10.47
16                     11.91
32                     10.48
64                     12.39
128                    15.75
256                    21.78
512                    31.31
1024                   57.01
2048                  108.66
4096                  227.36
8192                  419.22
16384                1604.25
32768                2537.01
65536                4236.00
131072               8053.58
262144              15843.49
524288              32022.87
1048576             66206.73
2097152            135693.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.32
2                       8.62
4                       9.51
8                      10.72
16                     11.99
32                     11.36
64                     13.03
128                    16.47
256                    21.91
512                    31.25
1024                   57.15
2048                  108.49
4096                  228.11
8192                  414.98
16384                1559.21
32768                2458.58
65536                4241.99
131072               8090.81
262144              15883.88
524288              32013.03
1048576             66248.47
2097152            135719.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.23
2                       8.26
4                       9.35
8                      10.50
16                     11.79
32                     11.72
64                     13.65
128                    16.42
256                    21.98
512                    31.24
1024                   57.11
2048                  108.51
4096                  226.55
8192                  416.89
16384                1597.92
32768                2489.63
65536                4227.29
131072               8086.33
262144              15875.61
524288              32002.01
1048576             66172.12
2097152            135695.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.65
2                       8.56
4                       9.46
8                      10.70
16                     11.89
32                     12.94
64                     14.83
128                    17.92
256                    22.26
512                    31.39
1024                   56.92
2048                  108.29
4096                  226.46
8192                  417.34
16384                1584.63
32768                2476.13
65536                4237.21
131072               8107.65
262144              15871.37
524288              31990.80
1048576             66112.93
2097152            135588.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.03
2                       8.38
4                       9.37
8                      10.48
16                     11.69
32                     10.54
64                     12.53
128                    15.95
256                    21.76
512                    31.09
1024                   57.21
2048                  109.43
4096                  229.57
8192                  408.80
16384                1596.04
32768                2508.85
65536                4239.94
131072               8098.37
262144              15881.51
524288              31993.42
1048576             66237.57
2097152            135521.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.92
2                       8.27
4                       9.34
8                      10.53
16                     11.78
32                     10.53
64                     12.67
128                    15.83
256                    21.83
512                    31.13
1024                   57.13
2048                  108.97
4096                  226.67
8192                  415.52
16384                1585.68
32768                2391.40
65536                4250.50
131072               8060.71
262144              15873.83
524288              31993.61
1048576             66212.20
2097152            135787.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.01
2                       8.31
4                       9.40
8                      10.57
16                     11.78
32                     11.23
64                     13.03
128                  3987.37
256                    21.81
512                    31.46
1024                   57.65
2048                  109.70
4096                  227.38
8192                  406.27
16384                1598.30
32768                2532.09
65536                4235.66
131072               8088.86
262144              15872.38
524288              32019.66
1048576             66293.86
2097152            135664.66
