
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.83
2                       9.20
4                       8.88
8                       8.84
16                      9.21
32                     10.12
64                     12.01
128                    14.91
256                    19.81
512                    27.87
1024                   50.54
2048                   92.27
4096                  862.17
8192                 1579.79
16384                3024.66
32768                5541.77
65536               10900.90
131072              21721.25
262144              43373.97
524288              86712.87
1048576            173445.99
2097152            346987.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.21
2                       8.07
4                       8.10
8                       8.33
16                      8.72
32                      9.57
64                     11.71
128                    14.79
256                    19.76
512                    27.88
1024                   51.19
2048                   92.41
4096                  857.34
8192                 1588.75
16384                3018.43
32768                5556.16
65536               10909.20
131072              21720.83
262144              43382.38
524288              86738.93
1048576            173456.78
2097152            346937.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.33
2                       8.81
4                       9.09
8                       9.04
16                      9.53
32                     10.35
64                     12.26
128                    14.97
256                    19.78
512                    28.42
1024                   52.54
2048                   95.31
4096                  872.60
8192                 1614.29
16384                3133.16
32768                5612.17
65536               10913.35
131072              21691.31
262144              43304.89
524288              86720.04
1048576            173447.48
2097152            346961.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.50
2                       8.47
4                       8.55
8                       8.77
16                      9.38
32                      9.93
64                     11.91
128                    14.91
256                    19.81
512                    27.81
1024                   50.68
2048                   92.93
4096                  859.26
8192                 1566.72
16384                3024.82
32768                5546.70
65536               10909.42
131072              21726.25
262144              43384.77
524288              86738.40
1048576            173486.75
2097152            347005.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.10
2                       8.94
4                       8.84
8                       9.21
16                      9.48
32                     10.31
64                     12.33
128                    14.90
256                    19.77
512                    27.73
1024                   50.63
2048                   92.36
4096                  870.27
8192                 1578.57
16384                3035.03
32768                5549.14
65536               10905.37
131072              21725.29
262144              43380.46
524288              86736.38
1048576            173476.51
2097152            346962.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.51
2                       9.68
4                       9.66
8                       9.77
16                     10.02
32                     11.29
64                     13.04
128                    15.45
256                    19.86
512                    27.74
1024                   51.20
2048                   92.50
4096                  867.75
8192                 1575.05
16384                3028.68
32768                5536.00
65536               10897.74
131072              21727.01
262144              43381.59
524288              86738.97
1048576            173449.87
2097152            347032.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.14
2                      11.20
4                      11.19
8                      11.31
16                     11.45
32                     12.77
64                     14.61
128                    16.87
256                    20.22
512                    28.09
1024                   50.29
2048                   92.32
4096                  851.48
8192                 1575.59
16384                3022.14
32768                5539.89
65536               10907.62
131072              21720.07
262144              43380.31
524288              86737.21
1048576            173462.18
2097152            347020.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.12
2                      11.64
4                      11.40
8                      11.73
16                     11.71
32                     12.96
64                     14.69
128                    16.94
256                    20.47
512                    28.08
1024                   50.50
2048                   92.52
4096                  854.32
8192                 1575.27
16384                3019.72
32768                5540.45
65536               10904.06
131072              21726.15
262144              43384.80
524288              86737.21
1048576            173458.50
2097152            347006.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.37
2                       9.18
4                       9.29
8                       9.35
16                      9.69
32                     10.70
64                     12.51
128                    15.17
256                    19.82
512                    27.77
1024                   50.72
2048                   92.77
4096                  861.47
8192                 1599.84
16384                3018.85
32768                5546.91
65536               10907.98
131072              21722.33
262144              43377.26
524288              86740.87
1048576            173489.63
2097152            347018.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.69
2                       9.32
4                       9.34
8                       9.96
16                      9.98
32                     10.80
64                     12.74
128                    15.39
256                    19.80
512                    27.89
1024                   50.66
2048                   93.04
4096                  855.26
8192                 1572.41
16384                3036.48
32768                5548.77
65536               10910.82
131072              21729.86
262144              43404.11
524288              86761.20
1048576            173496.30
2097152            347015.04
