
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.38
2                      26.25
4                      26.44
8                      26.79
16                     27.35
32                     28.75
64                     31.15
128                    35.27
256                    41.73
512                    53.37
1024                   76.74
2048                  121.53
4096                  259.13
8192                  864.77
16384                4520.39
32768                9658.31
65536               19347.49
131072              38901.42
262144              77728.37
524288             147948.42
1048576            280226.60
2097152            547951.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.23
2                      26.31
4                      26.55
8                      26.76
16                     27.52
32                     28.80
64                     31.26
128                    35.19
256                    41.70
512                    53.37
1024                   76.96
2048                  122.61
4096                  262.29
8192                  897.01
16384                4423.46
32768                9686.61
65536               19405.40
131072              38950.01
262144              77848.01
524288             148152.02
1048576            280236.59
2097152            547769.08

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.61
2                      26.63
4                      26.87
8                      27.15
16                     27.79
32                     29.27
64                     31.45
128                    35.29
256                    41.73
512                    53.40
1024                   76.90
2048                  122.37
4096                  261.88
8192                  889.43
16384                4528.63
32768                9723.02
65536               19494.94
131072              38926.65
262144              77814.46
524288             147872.26
1048576            280362.81
2097152            547891.21

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.90
2                      26.12
4                      26.43
8                      26.52
16                     27.45
32                     28.59
64                     31.01
128                    35.11
256                    41.73
512                    53.39
1024                   76.99
2048                  122.28
4096                  260.80
8192                  896.75
16384                4530.86
32768                9713.91
65536               19433.45
131072              38917.90
262144              77866.04
524288             148033.74
1048576            280198.31
2097152            547564.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.70
2                      25.89
4                      26.21
8                      26.62
16                     27.53
32                     28.81
64                     31.28
128                    34.96
256                    41.64
512                    53.57
1024                   76.83
2048                  122.65
4096                  259.90
8192                  873.61
16384                4521.09
32768                9676.88
65536               19361.11
131072              38888.77
262144              78145.38
524288             148102.45
1048576            280187.90
2097152            548043.06

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.78
2                      25.97
4                      26.19
8                      26.42
16                     27.23
32                     28.49
64                     30.88
128                    35.11
256                    41.63
512                    53.33
1024                   76.76
2048                  122.19
4096                  255.31
8192                  876.67
16384                4519.40
32768                9653.96
65536               19382.87
131072              38891.64
262144              78131.07
524288             148176.12
1048576            280303.03
2097152            547866.11

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.85
2                      26.10
4                      26.37
8                      26.53
16                     27.33
32                     28.69
64                     30.99
128                    35.13
256                    41.70
512                    53.50
1024                   77.09
2048                  122.21
4096                  261.40
8192                  877.49
16384                4527.32
32768                9702.80
65536               19410.12
131072              38933.54
262144              77636.34
524288             148045.96
1048576            280390.32
2097152            547746.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.97
2                      26.17
4                      26.52
8                      26.81
16                     27.49
32                     28.57
64                     31.16
128                    35.15
256                    41.68
512                    53.67
1024                   77.21
2048                  122.66
4096                  262.69
8192                  885.29
16384                4529.55
32768                9715.35
65536               19479.72
131072              38910.31
262144              78086.24
524288             148137.06
1048576            280400.67
2097152            547617.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.69
2                      25.98
4                      26.23
8                      26.45
16                     27.19
32                     28.46
64                     30.81
128                    35.06
256                    41.72
512                    53.34
1024                   76.89
2048                  122.49
4096                  260.77
8192                  877.52
16384                4427.36
32768                9572.99
65536               19363.76
131072              38983.15
262144              77661.55
524288             148068.79
1048576            280362.12
2097152            548004.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.70
2                      25.98
4                      26.21
8                      26.40
16                     27.13
32                     28.45
64                     30.87
128                    35.11
256                    41.69
512                    53.39
1024                   76.92
2048                  121.90
4096                  259.41
8192                  887.67
16384                4432.47
32768                9716.56
65536               19470.06
131072              38953.91
262144              77809.19
524288             148462.47
1048576            280552.75
2097152            547962.06
