
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     101.96
2                     102.04
4                     101.99
8                     103.13
16                    102.71
32                    102.49
64                     92.49
128                    98.56
256                   107.87
512                   103.87
1024                  122.14
2048                  168.03
4096                  258.21
8192                  434.29
16384                 969.84
32768                2213.81
65536                3733.31
131072               7784.78
262144              16581.90
524288              33471.58
1048576             67521.71
2097152            136036.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      84.74
2                      85.22
4                      85.11
8                      86.96
16                     86.60
32                     85.02
64                     78.10
128                    84.82
256                    91.27
512                   104.35
1024                  133.77
2048                  162.49
4096                  262.54
8192                  435.41
16384                 971.91
32768                2162.54
65536                3742.20
131072               7801.52
262144              16612.17
524288              33459.84
1048576             67614.86
2097152            135971.84

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      73.81
2                      71.71
4                      71.46
8                      72.30
16                     72.28
32                     72.45
64                     71.31
128                    78.94
256                    89.30
512                   101.39
1024                  121.94
2048                  173.06
4096                  258.63
8192                  435.12
16384                 974.74
32768                2164.97
65536                3734.49
131072               7783.54
262144              16564.35
524288              33496.55
1048576             67578.04
2097152            135975.56

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      75.49
2                      73.04
4                      73.59
8                      73.25
16                     73.23
32                     74.32
64                     72.03
128                    79.32
256                    90.15
512                   101.55
1024                  124.00
2048                  174.07
4096                  258.15
8192                  435.13
16384                 979.89
32768                2201.21
65536                3746.77
131072               7786.11
262144              16584.18
524288              33447.90
1048576             67580.63
2097152            135930.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      70.83
2                      70.35
4                      70.20
8                      70.65
16                     71.00
32                     71.01
64                     71.02
128                    78.70
256                    89.18
512                   101.01
1024                  121.76
2048                  175.10
4096                  258.23
8192                  436.55
16384                 977.87
32768                2167.42
65536                3738.26
131072               7791.54
262144              16606.92
524288              33490.83
1048576             67594.17
2097152            136008.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.03
2                      67.26
4                      67.05
8                      67.98
16                     67.81
32                     67.99
64                     68.87
128                    77.35
256                    88.66
512                   100.88
1024                  121.63
2048                  174.31
4096                  257.61
8192                  432.74
16384                 963.20
32768                2162.69
65536                3738.86
131072               7791.02
262144              16577.91
524288              33479.65
1048576             67614.28
2097152            135991.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.55
2                      70.29
4                      70.36
8                      70.93
16                     71.43
32                     73.45
64                     70.74
128                    78.86
256                    89.29
512                   101.07
1024                  121.74
2048                  175.85
4096                  257.62
8192                  433.55
16384                 974.96
32768                2174.84
65536                3730.14
131072               7790.65
262144              16591.75
524288              33493.67
1048576             67607.65
2097152            135913.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      95.27
2                      96.12
4                      94.03
8                      95.67
16                     96.35
32                     93.87
64                     88.22
128                    94.83
256                   106.39
512                   101.98
1024                  121.97
2048                  166.03
4096                  257.97
8192                  433.53
16384                 974.49
32768                2189.59
65536                3732.72
131072               7768.94
262144              16574.96
524288              33495.20
1048576             67608.25
2097152            135947.06

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.12
2                      66.81
4                      66.79
8                      67.77
16                     67.24
32                     67.73
64                     68.89
128                    77.23
256                    88.59
512                   101.91
1024                  121.66
2048                  175.99
4096                  257.95
8192                  434.03
16384                 970.04
32768                2163.16
65536                3734.46
131072               7778.97
262144              16569.17
524288              33493.48
1048576             67680.62
2097152            136021.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.10
2                      78.53
4                      79.79
8                      81.47
16                     80.72
32                     78.98
64                     75.50
128                    83.28
256                    90.73
512                   101.38
1024                  135.26
2048                  162.33
4096                  261.44
8192                  434.71
16384                 973.14
32768                2165.08
65536                3739.58
131072               7784.25
262144              16565.52
524288              33436.50
1048576             67549.07
2097152            135940.03
