
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.19
2                      60.48
4                      60.44
8                      62.62
16                     46.27
32                     49.35
64                     53.10
128                    71.59
256                    82.70
512                   117.52
1024                  189.97
2048                  221.67
4096                  356.26
8192                  519.95
16384                1374.15
32768                2157.20
65536                3311.92
131072               6266.21
262144              12342.66
524288              24546.04
1048576             49314.66
2097152             99819.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.43
2                      60.62
4                      60.50
8                      62.80
16                     46.42
32                     49.49
64                     53.19
128                    71.74
256                    82.70
512                   117.58
1024                  189.96
2048                  221.82
4096                  355.93
8192                  519.57
16384                1380.18
32768                2154.77
65536                3309.56
131072               6280.42
262144              12362.84
524288              24580.96
1048576             49349.97
2097152             99889.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.21
2                      60.55
4                      60.50
8                      62.64
16                     46.38
32                     49.40
64                     53.19
128                    71.60
256                    82.56
512                   117.52
1024                  190.12
2048                  221.94
4096                  359.31
8192                  519.38
16384                1375.21
32768                2161.40
65536                3307.55
131072               6258.63
262144              12344.55
524288              24567.28
1048576             49327.07
2097152             99859.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.19
2                      60.67
4                      60.53
8                      62.76
16                     46.31
32                     49.38
64                     53.12
128                    71.82
256                    82.43
512                   117.56
1024                  189.47
2048                  222.60
4096                  360.04
8192                  520.41
16384                1375.00
32768                2158.08
65536                3308.14
131072               6282.28
262144              12360.96
524288              24585.23
1048576             49374.04
2097152             99953.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.26
2                      60.55
4                      60.43
8                      62.64
16                     46.40
32                     49.53
64                     53.18
128                    71.51
256                    82.51
512                   117.31
1024                  189.63
2048                  221.59
4096                  356.98
8192                  521.31
16384                1378.62
32768                2167.24
65536                3315.62
131072               6273.00
262144              12370.35
524288              24618.15
1048576             49395.87
2097152             99939.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.28
2                      60.78
4                      60.54
8                      62.75
16                     46.30
32                     49.35
64                     53.12
128                    71.61
256                    82.64
512                   117.47
1024                  189.49
2048                  221.95
4096                  356.86
8192                  520.26
16384                1376.51
32768                2159.47
65536                3316.05
131072               6280.06
262144              12362.20
524288              24619.20
1048576             49427.33
2097152            100010.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.20
2                      60.55
4                      60.44
8                      62.61
16                     46.29
32                     49.40
64                     53.14
128                    71.64
256                    82.63
512                   117.48
1024                  190.24
2048                  221.81
4096                  351.97
8192                  520.40
16384                1383.14
32768                2184.30
65536                3316.33
131072               6267.15
262144              12343.54
524288              24586.37
1048576             49392.08
2097152             99864.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.28
2                      60.52
4                      60.48
8                      62.66
16                     46.32
32                     49.37
64                     53.13
128                    71.59
256                    82.54
512                   117.19
1024                  190.13
2048                  221.35
4096                  354.11
8192                  519.47
16384                1378.97
32768                2162.64
65536                3311.43
131072               6261.86
262144              12346.29
524288              24585.81
1048576             49340.41
2097152             99863.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.30
2                      60.53
4                      60.50
8                      62.70
16                     46.37
32                     49.40
64                     53.20
128                    71.60
256                    82.64
512                   117.78
1024                  190.41
2048                  221.35
4096                  350.40
8192                  518.88
16384                1379.36
32768                2165.88
65536                3312.69
131072               6266.67
262144              12361.36
524288              24552.32
1048576             49335.40
2097152             99796.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.20
2                      60.54
4                      60.54
8                      62.69
16                     46.33
32                     49.37
64                     53.15
128                    71.60
256                    82.49
512                   117.58
1024                  190.07
2048                  222.43
4096                  357.15
8192                  518.95
16384                1375.73
32768                2163.73
65536                3309.22
131072               6265.36
262144              12340.27
524288              24553.53
1048576             49349.78
2097152             99871.50
