
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.20
2                      45.77
4                      46.53
8                      48.73
16                     45.91
32                     48.84
64                     52.54
128                    60.65
256                    81.37
512                   114.77
1024                  186.01
2048                  601.21
4096                  772.36
8192                 1164.35
16384                3020.75
32768                5419.92
65536                9826.77
131072              16200.72
262144              28408.09
524288              59073.06
1048576            129919.12
2097152            243150.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.24
2                      45.61
4                      46.41
8                      48.62
16                     45.90
32                     48.85
64                     52.51
128                    60.60
256                    81.15
512                   114.93
1024                  185.14
2048                  605.32
4096                  771.98
8192                 1179.50
16384                2959.61
32768                5408.88
65536                9834.70
131072              16203.87
262144              28593.17
524288              59495.33
1048576            129362.12
2097152            243860.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.08
2                      45.66
4                      46.55
8                      48.81
16                     45.95
32                     48.98
64                     52.55
128                    60.63
256                    81.19
512                   114.71
1024                  184.83
2048                  600.24
4096                  773.54
8192                 1169.53
16384                2942.34
32768                5421.54
65536                9858.92
131072              16206.94
262144              28490.15
524288              59103.23
1048576            129031.51
2097152            244772.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.24
2                      45.66
4                      46.54
8                      48.84
16                     45.85
32                     48.88
64                     52.52
128                    60.65
256                    81.29
512                   114.75
1024                  184.59
2048                  598.32
4096                  773.72
8192                 1172.63
16384                2991.62
32768                5419.07
65536                9841.50
131072              16251.97
262144              28360.04
524288              58926.34
1048576            128695.33
2097152            245963.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.05
2                      45.64
4                      46.43
8                      48.69
16                     45.87
32                     48.85
64                     52.51
128                    60.71
256                    81.25
512                   114.78
1024                  185.17
2048                  603.89
4096                  774.65
8192                 1173.35
16384                2981.98
32768                5422.34
65536                9869.43
131072              16334.82
262144              28493.79
524288              59210.37
1048576            129039.21
2097152            242543.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.12
2                      45.73
4                      46.61
8                      48.80
16                     45.88
32                     48.91
64                     52.55
128                    60.68
256                    81.08
512                   114.87
1024                  185.93
2048                  601.20
4096                  772.39
8192                 1167.72
16384                3018.59
32768                5419.78
65536                9795.97
131072              16168.75
262144              28311.89
524288              58848.25
1048576            129381.53
2097152            244245.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.10
2                      45.68
4                      46.48
8                      48.75
16                     45.94
32                     48.89
64                     52.55
128                    60.71
256                    81.26
512                   114.61
1024                  185.42
2048                  620.60
4096                  771.78
8192                 1187.45
16384                3001.28
32768                5424.45
65536                9846.09
131072              16146.75
262144              28286.60
524288              58799.94
1048576            129251.54
2097152            246286.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.23
2                      45.75
4                      46.62
8                      48.83
16                     45.93
32                     49.01
64                     52.60
128                    60.73
256                    81.40
512                   114.76
1024                  185.37
2048                  597.91
4096                  774.74
8192                 1161.31
16384                3006.32
32768                5431.73
65536                9869.45
131072              16104.04
262144              28245.79
524288              59364.09
1048576            128945.45
2097152            244449.08

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.16
2                      45.71
4                      46.58
8                      48.80
16                     45.99
32                     48.91
64                     52.53
128                    60.68
256                    81.35
512                   114.66
1024                  185.65
2048                  603.79
4096                  771.93
8192                 1169.89
16384                2974.36
32768                5420.16
65536                9813.74
131072              16192.98
262144              28452.48
524288              59216.40
1048576            129558.69
2097152            244484.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.10
2                      45.80
4                      46.58
8                      48.79
16                     45.87
32                     48.93
64                     52.46
128                    60.56
256                    81.34
512                   114.55
1024                  185.21
2048                  583.10
4096                  773.68
8192                 1172.80
16384                3004.24
32768                5412.85
65536                9852.14
131072              16250.57
262144              28449.17
524288              59448.87
1048576            129238.39
2097152            245042.95
