
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.21
2                      43.99
4                      43.05
8                      45.69
16                     41.69
32                     44.95
64                     47.42
128                    53.22
256                    62.03
512                    79.02
1024                  120.93
2048                  213.53
4096                  397.55
8192                  791.91
16384                2525.24
32768                5033.44
65536               10368.05
131072              20343.62
262144              40976.78
524288              83153.87
1048576            175977.33
2097152            360764.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.27
2                      43.88
4                      41.83
8                      44.09
16                     40.76
32                     43.79
64                     46.70
128                    52.84
256                    61.59
512                    79.09
1024                  120.51
2048                  213.89
4096                  402.54
8192                  791.93
16384                2511.40
32768                5037.36
65536               10395.68
131072              20339.94
262144              41066.09
524288              83336.97
1048576            174262.23
2097152            361431.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.15
2                      43.92
4                      41.67
8                      43.99
16                     40.47
32                     43.65
64                     46.49
128                    52.50
256                    61.56
512                    79.00
1024                  120.66
2048                  213.20
4096                  410.25
8192                  789.61
16384                2506.36
32768                5086.54
65536               10339.38
131072              20341.19
262144              40880.65
524288              83213.60
1048576            175570.56
2097152            361911.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.11
2                      43.74
4                      41.61
8                      43.93
16                     40.46
32                     43.31
64                     46.36
128                    52.41
256                    61.46
512                    78.79
1024                  120.49
2048                  214.19
4096                  404.36
8192                  784.74
16384                2509.76
32768                4954.97
65536               10380.23
131072              20324.44
262144              40941.75
524288              83320.26
1048576            174608.99
2097152            358974.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.31
2                      43.83
4                      41.68
8                      43.98
16                     40.77
32                     43.65
64                     46.69
128                    52.61
256                    61.73
512                    79.01
1024                  120.63
2048                  213.32
4096                  403.94
8192                  790.13
16384                2526.44
32768                5023.32
65536               10366.04
131072              20424.95
262144              41002.59
524288              83465.14
1048576            175339.18
2097152            362623.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.33
2                      43.81
4                      42.20
8                      44.49
16                     40.99
32                     44.14
64                     46.84
128                    52.98
256                    61.60
512                    79.05
1024                  121.57
2048                  213.53
4096                  397.37
8192                  787.60
16384                2514.71
32768                5099.00
65536               10419.28
131072              20376.75
262144              41003.38
524288              83262.30
1048576            174588.34
2097152            360731.59

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.03
2                      43.74
4                      41.66
8                      44.20
16                     40.49
32                     43.48
64                     46.52
128                    52.51
256                    61.47
512                    78.82
1024                  120.50
2048                  213.94
4096                  406.16
8192                  792.58
16384                2507.64
32768                5091.28
65536               10402.07
131072              20316.69
262144              40965.53
524288              83304.56
1048576            174685.11
2097152            360453.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.19
2                      43.73
4                      41.73
8                      44.08
16                     40.60
32                     43.58
64                     46.57
128                    52.51
256                    61.48
512                    78.82
1024                  120.44
2048                  213.02
4096                  405.96
8192                  795.35
16384                2507.52
32768                5012.70
65536               10390.55
131072              20371.16
262144              41115.34
524288              83754.01
1048576            174971.32
2097152            360910.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.15
2                      43.86
4                      41.61
8                      44.24
16                     40.49
32                     43.58
64                     46.57
128                    52.47
256                    61.50
512                    78.93
1024                  121.16
2048                  214.44
4096                  402.22
8192                  790.28
16384                2506.47
32768                4984.70
65536               10375.99
131072              20404.08
262144              40930.91
524288              82913.39
1048576            175122.06
2097152            358311.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.36
2                      43.83
4                      41.75
8                      44.22
16                     40.62
32                     43.53
64                     46.68
128                    52.64
256                    61.57
512                    78.88
1024                  120.54
2048                  213.06
4096                  408.08
8192                  796.24
16384                2509.57
32768                5161.73
65536               10404.49
131072              20402.84
262144              41201.29
524288              83243.72
1048576            174979.84
2097152            359658.97
