
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.65
2                      41.01
4                      41.77
8                      43.57
16                     41.63
32                     44.76
64                     48.56
128                    56.90
256                    77.52
512                   110.93
1024                  180.81
2048                  423.54
4096                  628.25
8192                 1124.80
16384                2605.27
32768                4856.23
65536                9208.14
131072              17557.49
262144              35017.45
524288              70196.35
1048576            140594.24
2097152            277050.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.70
2                      41.05
4                      41.66
8                      43.61
16                     41.61
32                     44.74
64                     48.56
128                    56.96
256                    77.66
512                   110.91
1024                  180.78
2048                  424.73
4096                  637.92
8192                 1121.46
16384                2606.87
32768                4862.64
65536                9203.72
131072              17576.65
262144              34999.20
524288              70208.19
1048576            140571.75
2097152            277006.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.58
2                      41.02
4                      41.72
8                      43.60
16                     41.58
32                     44.70
64                     48.51
128                    56.93
256                    77.66
512                   111.05
1024                  180.82
2048                  424.46
4096                  635.50
8192                 1127.05
16384                2608.42
32768                4858.69
65536                9204.24
131072              17553.75
262144              35010.99
524288              70256.29
1048576            140651.08
2097152            277173.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.67
2                      41.19
4                      41.74
8                      43.73
16                     41.69
32                     44.78
64                     48.59
128                    56.98
256                    77.67
512                   111.07
1024                  180.73
2048                  425.41
4096                  632.80
8192                 1122.53
16384                2609.20
32768                4867.38
65536                9200.44
131072              17579.61
262144              35017.82
524288              70208.30
1048576            140560.27
2097152            277013.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.69
2                      41.08
4                      41.70
8                      43.70
16                     41.63
32                     44.70
64                     48.54
128                    56.87
256                    77.54
512                   111.03
1024                  180.81
2048                  424.90
4096                  634.04
8192                 1118.11
16384                2603.02
32768                4854.14
65536                9222.59
131072              17573.04
262144              35026.66
524288              70192.11
1048576            140519.65
2097152            277013.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.54
2                      40.98
4                      41.55
8                      43.46
16                     41.59
32                     44.74
64                     48.57
128                    56.91
256                    77.64
512                   110.96
1024                  180.88
2048                  423.86
4096                  634.26
8192                 1120.15
16384                2601.92
32768                4863.42
65536                9228.31
131072              17574.90
262144              35014.67
524288              70218.74
1048576            140556.42
2097152            277035.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.59
2                      40.99
4                      41.58
8                      43.59
16                     41.62
32                     44.76
64                     48.53
128                    56.90
256                    77.69
512                   110.93
1024                  180.63
2048                  425.36
4096                  627.41
8192                 1123.88
16384                2600.63
32768                4865.30
65536                9234.37
131072              17589.39
262144              35003.00
524288              70179.75
1048576            140548.44
2097152            277029.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.65
2                      41.15
4                      41.68
8                      43.68
16                     41.65
32                     44.73
64                     48.53
128                    57.00
256                    77.79
512                   110.92
1024                  181.11
2048                  424.76
4096                  640.97
8192                 1125.09
16384                2606.10
32768                4856.86
65536                9202.27
131072              17599.43
262144              35030.56
524288              70230.19
1048576            140598.60
2097152            277106.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.52
2                      40.97
4                      41.58
8                      43.50
16                     41.56
32                     44.70
64                     48.60
128                    56.86
256                    77.65
512                   110.98
1024                  181.10
2048                  423.91
4096                  637.07
8192                 1120.61
16384                2599.75
32768                4858.25
65536                9222.91
131072              17595.20
262144              35038.43
524288              70264.58
1048576            140605.31
2097152            277073.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.47
2                      40.92
4                      41.56
8                      43.50
16                     41.58
32                     44.63
64                     48.52
128                    56.90
256                    77.80
512                   111.06
1024                  180.87
2048                  425.55
4096                  636.33
8192                 1127.97
16384                2604.98
32768                4862.19
65536                9238.05
131072              17596.30
262144              35004.27
524288              70217.08
1048576            140540.53
2097152            277126.20
