
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.66
2                      30.89
4                      31.24
8                      33.43
16                     32.25
32                     37.16
64                     43.88
128                    59.46
256                    69.56
512                    79.43
1024                   95.98
2048                  136.06
4096                  267.55
8192                  453.89
16384                 931.71
32768                2157.52
65536                4544.36
131072              13966.24
262144              28289.32
524288              52227.31
1048576             90244.15
2097152            162995.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.60
2                      30.98
4                      31.24
8                      32.70
16                     32.68
32                     37.85
64                     43.76
128                    59.72
256                    70.11
512                    80.44
1024                   98.17
2048                  136.78
4096                  268.23
8192                  458.48
16384                 944.09
32768                2171.44
65536                4573.80
131072              14015.97
262144              28278.11
524288              52151.32
1048576             90478.17
2097152            162368.15

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.01
2                      31.31
4                      31.34
8                      33.21
16                     32.68
32                     37.16
64                     44.03
128                    58.81
256                    70.72
512                    79.49
1024                   96.40
2048                  136.08
4096                  265.64
8192                  451.13
16384                 929.54
32768                2162.34
65536                4554.97
131072              13982.94
262144              28310.82
524288              52255.52
1048576             90381.71
2097152            160423.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.72
2                      30.90
4                      32.32
8                      33.64
16                     32.26
32                     37.12
64                     43.64
128                    58.42
256                    68.70
512                    78.04
1024                   96.64
2048                  136.06
4096                  265.41
8192                  452.98
16384                 939.98
32768                2167.46
65536                4581.51
131072              13980.59
262144              28231.07
524288              52164.26
1048576             90048.73
2097152            161132.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.73
2                      30.79
4                      32.79
8                      32.67
16                     32.20
32                     37.01
64                     44.48
128                    58.29
256                    68.23
512                    78.03
1024                   95.96
2048                  136.35
4096                  267.39
8192                  452.65
16384                 940.09
32768                2166.90
65536                4571.25
131072              13969.97
262144              28255.49
524288              52160.27
1048576             89931.12
2097152            160862.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      33.37
2                      30.87
4                      31.55
8                      32.62
16                     32.26
32                     37.05
64                     45.70
128                    58.71
256                    68.33
512                    78.37
1024                   96.06
2048                  136.44
4096                  265.71
8192                  449.82
16384                 931.85
32768                2166.08
65536                4553.38
131072              13960.32
262144              28236.62
524288              52173.32
1048576             90319.00
2097152            161885.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.74
2                      30.85
4                      31.19
8                      34.52
16                     33.34
32                     37.06
64                     43.95
128                    59.24
256                    67.86
512                    79.64
1024                   96.10
2048                  136.28
4096                  265.39
8192                  452.15
16384                 934.10
32768                2170.52
65536                4562.22
131072              13962.98
262144              28210.41
524288              52142.90
1048576             90405.84
2097152            161110.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.61
2                      30.85
4                      32.27
8                      32.68
16                     32.32
32                     37.16
64                     43.75
128                    58.47
256                    68.43
512                    78.53
1024                   96.15
2048                  135.95
4096                  265.85
8192                  452.28
16384                 936.12
32768                2186.62
65536                4572.47
131072              14008.09
262144              28231.81
524288              52180.48
1048576             89862.11
2097152            161492.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.73
2                      30.85
4                      32.11
8                      32.88
16                     32.22
32                     37.09
64                     43.86
128                    58.40
256                    70.45
512                    79.05
1024                   96.59
2048                  136.73
4096                  269.53
8192                  457.39
16384                 942.44
32768                2172.76
65536                4560.80
131072              13972.50
262144              28244.21
524288              52203.95
1048576             90096.43
2097152            162372.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.32
2                      30.76
4                      31.20
8                      32.75
16                     32.96
32                     37.08
64                     44.42
128                    57.86
256                    68.07
512                    77.72
1024                   95.99
2048                  135.73
4096                  265.46
8192                  456.53
16384                 937.68
32768                2174.46
65536                4568.89
131072              13963.51
262144              28259.06
524288              52150.21
1048576             89946.92
2097152            160324.21
