
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.81
2                      23.77
4                      23.68
8                      25.24
16                     27.26
32                     30.80
64                     31.95
128                    36.44
256                    46.71
512                    55.85
1024                   82.44
2048                  115.99
4096                  239.75
8192                  452.48
16384                 859.51
32768                1666.26
65536                3278.29
131072               6678.16
262144              14489.37
524288              31261.35
1048576             61767.07
2097152            123843.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.94
2                      23.84
4                      23.70
8                      25.21
16                     27.31
32                     30.58
64                     31.89
128                    37.56
256                    46.90
512                    55.97
1024                   82.44
2048                  115.70
4096                  239.76
8192                  454.78
16384                 855.20
32768                1670.64
65536                3278.58
131072               6680.72
262144              14551.77
524288              31304.17
1048576             61660.55
2097152            123668.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.87
2                      23.69
4                      23.99
8                      25.90
16                     27.29
32                     30.36
64                     32.66
128                    37.75
256                    46.92
512                    56.95
1024                   82.64
2048                  115.94
4096                  241.52
8192                  456.04
16384                 865.73
32768                1663.94
65536                3285.88
131072               6729.84
262144              14625.25
524288              31360.64
1048576             61824.79
2097152            123722.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.87
2                      24.79
4                      23.69
8                      25.29
16                     27.57
32                     30.31
64                     31.64
128                    36.79
256                    46.41
512                    55.91
1024                   82.47
2048                  116.03
4096                  240.76
8192                  452.83
16384                 859.73
32768                1662.85
65536                3264.57
131072               6662.39
262144              14536.82
524288              31213.44
1048576             61664.09
2097152            123758.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.83
2                      23.75
4                      23.68
8                      25.43
16                     27.70
32                     31.16
64                     32.08
128                    36.40
256                    46.88
512                    57.05
1024                   82.35
2048                  115.81
4096                  238.63
8192                  450.12
16384                 850.24
32768                1653.47
65536                3254.70
131072               6628.56
262144              14487.13
524288              31288.41
1048576             61760.72
2097152            123663.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.07
2                      23.76
4                      23.80
8                      25.46
16                     28.24
32                     30.67
64                     32.18
128                    37.06
256                    47.50
512                    56.88
1024                   82.18
2048                  116.02
4096                  241.45
8192                  453.67
16384                 859.41
32768                1667.71
65536                3285.54
131072               6667.35
262144              14521.33
524288              31217.03
1048576             61725.76
2097152            123738.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.85
2                      23.67
4                      23.75
8                      25.18
16                     27.26
32                     30.54
64                     33.15
128                    36.88
256                    46.60
512                    55.88
1024                   82.51
2048                  115.89
4096                  239.74
8192                  451.34
16384                 853.18
32768                1657.49
65536                3265.88
131072               6651.03
262144              14512.86
524288              31270.70
1048576             61745.57
2097152            123868.81

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.98
2                      23.77
4                      24.88
8                      25.35
16                     27.29
32                     30.55
64                     32.50
128                    35.91
256                    46.71
512                    57.83
1024                   82.35
2048                  115.64
4096                  239.68
8192                  452.79
16384                 860.18
32768                1658.37
65536                3268.92
131072               6642.45
262144              14514.02
524288              31267.55
1048576             61774.65
2097152            123860.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.01
2                      23.74
4                      23.70
8                      25.27
16                     27.29
32                     31.84
64                     31.72
128                    36.00
256                    46.48
512                    55.90
1024                   82.43
2048                  115.65
4096                  239.98
8192                  454.53
16384                 859.89
32768                1664.96
65536                3287.29
131072               6702.78
262144              14520.67
524288              31250.71
1048576             61704.53
2097152            123646.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.43
2                      23.80
4                      24.71
8                      25.32
16                     27.36
32                     30.58
64                     31.64
128                    36.93
256                    46.79
512                    55.92
1024                   82.77
2048                  116.19
4096                  240.44
8192                  452.78
16384                 861.75
32768                1673.08
65536                3264.67
131072               6656.67
262144              14515.93
524288              31339.17
1048576             61780.28
2097152            123781.52
