
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.30
2                      13.36
4                      13.08
8                      13.37
16                     14.06
32                     15.45
64                     16.82
128                    18.30
256                    21.06
512                    25.81
1024                   32.92
2048                   49.77
4096                   83.66
8192                  210.65
16384                 456.97
32768                 884.22
65536                1731.52
131072               3443.91
262144               7317.00
524288              15249.55
1048576             30459.60
2097152             61005.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.14
2                      13.47
4                      13.10
8                      13.35
16                     14.02
32                     15.54
64                     16.96
128                    18.34
256                    20.96
512                    25.76
1024                   33.08
2048                   49.80
4096                   84.21
8192                  212.60
16384                 458.73
32768                 893.66
65536                1739.35
131072               3436.28
262144               7342.37
524288              15287.34
1048576             30468.04
2097152             61017.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.28
2                      13.35
4                      13.07
8                      13.40
16                     13.97
32                     15.58
64                     16.93
128                    18.34
256                    21.07
512                    25.88
1024                   32.90
2048                   49.90
4096                   84.03
8192                  211.65
16384                 457.77
32768                 884.96
65536                1737.08
131072               3440.69
262144               7308.96
524288              15293.37
1048576             30502.31
2097152             61039.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.29
2                      13.39
4                      13.13
8                      13.48
16                     14.22
32                     15.60
64                     16.85
128                    18.34
256                    21.03
512                    25.87
1024                   33.00
2048                   49.75
4096                   84.23
8192                  211.19
16384                 458.84
32768                 883.81
65536                1730.52
131072               3428.25
262144               7329.16
524288              15313.28
1048576             30526.64
2097152             61064.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.16
2                      13.39
4                      13.08
8                      13.35
16                     13.99
32                     15.64
64                     16.73
128                    18.32
256                    21.04
512                    26.20
1024                   32.93
2048                   49.87
4096                   83.92
8192                  212.12
16384                 457.32
32768                 888.52
65536                1739.98
131072               3451.47
262144               7318.38
524288              15268.72
1048576             30494.18
2097152             61074.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.14
2                      13.39
4                      13.08
8                      13.35
16                     14.03
32                     15.68
64                     16.80
128                    18.31
256                    21.04
512                    25.75
1024                   32.80
2048                   49.70
4096                   84.16
8192                  210.49
16384                 456.47
32768                 883.72
65536                1726.97
131072               3430.11
262144               7352.44
524288              15341.44
1048576             30525.17
2097152             61043.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.15
2                      13.38
4                      13.10
8                      13.38
16                     14.06
32                     15.62
64                     16.79
128                    18.30
256                    21.05
512                    25.93
1024                   32.94
2048                   49.63
4096                   83.91
8192                  210.94
16384                 457.14
32768                 883.49
65536                1732.71
131072               3439.28
262144               7283.89
524288              15257.95
1048576             30441.90
2097152             60992.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.35
2                      13.49
4                      13.08
8                      13.37
16                     14.03
32                     15.52
64                     16.95
128                    18.48
256                    21.06
512                    25.83
1024                   33.17
2048                   49.60
4096                   83.65
8192                  210.83
16384                 456.53
32768                 886.41
65536                1737.30
131072               3424.72
262144               7279.13
524288              15245.49
1048576             30566.94
2097152             61124.82

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.22
2                      13.35
4                      13.08
8                      13.36
16                     14.07
32                     15.50
64                     16.82
128                    18.22
256                    20.90
512                    25.91
1024                   32.89
2048                   49.64
4096                   83.86
8192                  210.43
16384                 456.32
32768                 881.94
65536                1725.80
131072               3419.05
262144               7304.46
524288              15323.72
1048576             30553.28
2097152             61101.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.42
2                      13.47
4                      13.06
8                      13.37
16                     14.02
32                     15.63
64                     16.93
128                    18.39
256                    21.05
512                    25.88
1024                   33.02
2048                   49.63
4096                   83.87
8192                  211.13
16384                 457.55
32768                 885.68
65536                1738.46
131072               3436.16
262144               7308.73
524288              15239.34
1048576             30452.64
2097152             60980.87
