
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.40
2                      14.39
4                      14.22
8                      14.44
16                     14.19
32                     15.90
64                     19.17
128                    27.19
256                    38.87
512                    40.49
1024                   34.80
2048                   50.29
4096                   81.50
8192                  189.95
16384                 389.12
32768                 904.50
65536                2137.19
131072               7913.31
262144              16029.54
524288              27537.32
1048576             44275.38
2097152             74960.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.42
2                      14.41
4                      14.18
8                      14.40
16                     14.16
32                     15.82
64                     19.15
128                    27.09
256                    38.98
512                    41.39
1024                   34.89
2048                   50.16
4096                   81.42
8192                  189.95
16384                 389.39
32768                 909.13
65536                2137.71
131072               7911.93
262144              16021.15
524288              27519.18
1048576             44151.89
2097152             74973.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.40
2                      14.52
4                      14.34
8                      14.62
16                     14.16
32                     15.77
64                     19.16
128                    27.16
256                    39.51
512                    41.13
1024                   34.89
2048                   50.16
4096                   81.45
8192                  189.99
16384                 387.94
32768                 907.84
65536                2137.41
131072               7903.95
262144              16014.18
524288              27495.05
1048576             44242.87
2097152             75033.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.48
2                      14.38
4                      14.18
8                      14.41
16                     14.12
32                     15.82
64                     19.18
128                    27.26
256                    39.74
512                    41.34
1024                   34.83
2048                   50.14
4096                   81.73
8192                  189.74
16384                 389.66
32768                 919.20
65536                2157.75
131072               7935.00
262144              16047.20
524288              27502.60
1048576             44251.15
2097152             75246.41

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.43
2                      14.44
4                      14.20
8                      14.45
16                     14.27
32                     15.87
64                     19.43
128                    27.66
256                    39.23
512                    40.86
1024                   34.83
2048                   49.91
4096                   81.14
8192                  189.85
16384                 390.31
32768                 914.03
65536                2146.97
131072               7918.83
262144              16032.30
524288              27474.72
1048576             44036.64
2097152             74497.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.42
2                      14.40
4                      14.18
8                      14.41
16                     14.14
32                     15.81
64                     19.21
128                    27.34
256                    39.71
512                    41.37
1024                   34.93
2048                   50.04
4096                   80.98
8192                  189.77
16384                 389.87
32768                 909.49
65536                2130.55
131072               7893.32
262144              16008.48
524288              27562.19
1048576             44395.24
2097152             75161.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.56
2                      14.61
4                      14.19
8                      14.46
16                     14.18
32                     15.93
64                     19.22
128                    27.29
256                    38.97
512                    40.78
1024                   34.90
2048                   49.99
4096                   81.21
8192                  189.79
16384                 389.56
32768                 908.02
65536                2138.71
131072               7913.73
262144              16028.10
524288              27510.71
1048576             44356.54
2097152             75536.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.40
2                      14.37
4                      14.21
8                      14.46
16                     14.18
32                     15.82
64                     19.22
128                    27.64
256                    39.93
512                    41.43
1024                   34.79
2048                   50.11
4096                   81.51
8192                  189.38
16384                 388.43
32768                 904.43
65536                2139.24
131072               7913.55
262144              16015.64
524288              27529.72
1048576             44193.05
2097152             74665.95

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.44
2                      14.38
4                      14.17
8                      14.39
16                     14.15
32                     15.82
64                     19.21
128                    26.94
256                    38.91
512                    40.58
1024                   34.84
2048                   50.19
4096                   81.43
8192                  189.77
16384                 389.30
32768                 915.02
65536                2161.62
131072               7913.34
262144              16028.38
524288              27511.47
1048576             44283.30
2097152             74979.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.48
2                      14.39
4                      14.23
8                      14.42
16                     14.15
32                     15.79
64                     19.14
128                    26.91
256                    39.26
512                    41.49
1024                   34.82
2048                   50.27
4096                   81.56
8192                  190.56
16384                 389.46
32768                 916.36
65536                2145.03
131072               7920.63
262144              16013.09
524288              27518.67
1048576             43998.49
2097152             74760.16
