
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.23
2                      11.27
4                      10.71
8                      12.19
16                     17.79
32                     19.40
64                     22.79
128                    26.11
256                    47.95
512                    76.99
1024                  139.37
2048                  108.29
4096                  154.13
8192                  263.21
16384                 984.79
32768                1558.14
65536                3019.85
131072               5648.90
262144              11121.36
524288              22168.17
1048576             45653.96
2097152             92540.16

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.32
2                      11.24
4                      10.71
8                      12.18
16                     17.75
32                     19.37
64                     22.73
128                    25.94
256                    47.98
512                    76.88
1024                  139.21
2048                  108.02
4096                  153.45
8192                  262.54
16384                 991.34
32768                1611.89
65536                3026.05
131072               5670.00
262144              11052.78
524288              22129.58
1048576             45624.32
2097152             92587.94

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.30
2                      11.24
4                      10.68
8                      12.18
16                     17.72
32                     19.35
64                     22.83
128                    25.99
256                    48.01
512                    76.89
1024                  139.29
2048                  108.74
4096                  154.22
8192                  261.47
16384                 992.64
32768                1592.59
65536                3013.35
131072               5644.01
262144              11101.41
524288              22227.96
1048576             45532.01
2097152             92349.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.22
2                      11.24
4                      10.70
8                      12.24
16                     17.72
32                     19.35
64                     22.76
128                    25.94
256                    48.03
512                    77.22
1024                  139.19
2048                  108.29
4096                  154.13
8192                  262.85
16384                 990.43
32768                1607.16
65536                3016.19
131072               5649.53
262144              11090.90
524288              22247.88
1048576             45602.67
2097152             92459.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.38
2                      11.25
4                      10.70
8                      12.18
16                     17.82
32                     19.44
64                     22.81
128                    26.08
256                    48.00
512                    76.99
1024                  139.30
2048                  108.91
4096                  154.62
8192                  261.25
16384                 993.23
32768                1569.98
65536                3021.30
131072               5669.26
262144              11116.12
524288              22142.89
1048576             45649.44
2097152             92706.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.22
2                      11.20
4                      10.77
8                      12.19
16                     17.73
32                     19.36
64                     22.75
128                    26.02
256                    47.84
512                    76.97
1024                  139.36
2048                  108.69
4096                  155.06
8192                  264.68
16384                 999.73
32768                1526.98
65536                3036.44
131072               5639.86
262144              11084.38
524288              22208.02
1048576             45661.08
2097152             92417.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.40
2                      11.36
4                      10.76
8                      12.29
16                     17.82
32                     19.44
64                     22.81
128                    25.91
256                    47.98
512                    76.92
1024                  139.40
2048                  108.61
4096                  153.97
8192                  262.26
16384                 988.75
32768                1599.35
65536                3006.25
131072               5652.09
262144              11004.12
524288              22125.85
1048576             45483.89
2097152             92426.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.24
2                      11.25
4                      10.71
8                      12.19
16                     17.68
32                     19.29
64                     22.85
128                    26.07
256                    47.96
512                    76.96
1024                  139.35
2048                  108.61
4096                  154.28
8192                  262.20
16384                 996.76
32768                1562.01
65536                3004.30
131072               5667.89
262144              11031.00
524288              22132.87
1048576             45702.39
2097152             92516.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.16
2                      11.32
4                      10.68
8                      12.18
16                     17.73
32                     19.35
64                     22.77
128                    25.92
256                    48.01
512                    76.86
1024                  139.34
2048                  108.39
4096                  154.06
8192                  262.65
16384                 989.41
32768                1627.57
65536                3022.80
131072               5639.27
262144              11073.47
524288              22188.99
1048576             45698.83
2097152             92387.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.25
2                      11.36
4                      10.70
8                      12.19
16                     17.77
32                     19.39
64                     22.79
128                    25.97
256                    47.84
512                    76.90
1024                  139.32
2048                  108.74
4096                  154.24
8192                  261.95
16384                 988.82
32768                1584.88
65536                3018.13
131072               5665.72
262144              11092.38
524288              22225.28
1048576             45702.92
2097152             92363.74
