
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.26
2                      14.14
4                      14.60
8                      15.94
16                     17.36
32                     19.01
64                     22.30
128                    28.18
256                    45.98
512                    72.79
1024                  129.04
2048                  346.00
4096                  488.27
8192                  972.78
16384                1923.12
32768                3309.03
65536                6343.31
131072              12528.02
262144              24985.68
524288              49965.17
1048576             99938.08
2097152            199844.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.19
2                      14.06
4                      14.56
8                      15.86
16                     17.34
32                     19.02
64                     22.37
128                    28.16
256                    45.99
512                    72.67
1024                  129.46
2048                  346.21
4096                  494.56
8192                  967.11
16384                1916.83
32768                3310.22
65536                6353.29
131072              12533.57
262144              24987.33
524288              49968.91
1048576             99925.96
2097152            199877.82

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.00
2                      13.92
4                      14.43
8                      15.75
16                     17.29
32                     18.94
64                     22.29
128                    28.23
256                    45.98
512                    72.81
1024                  129.35
2048                  345.97
4096                  490.84
8192                  974.03
16384                1917.67
32768                3312.64
65536                6352.55
131072              12533.04
262144              24993.36
524288              49975.27
1048576             99919.65
2097152            199872.94

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.19
2                      14.13
4                      14.54
8                      15.86
16                     17.34
32                     18.98
64                     22.34
128                    28.25
256                    46.00
512                    72.68
1024                  129.08
2048                  346.08
4096                  494.35
8192                  974.08
16384                1917.30
32768                3304.60
65536                6349.11
131072              12531.44
262144              24988.36
524288              49974.56
1048576             99914.94
2097152            199883.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.29
2                      14.08
4                      14.56
8                      15.91
16                     17.42
32                     19.01
64                     22.34
128                    28.21
256                    45.92
512                    72.62
1024                  128.95
2048                  345.72
4096                  492.43
8192                  973.86
16384                1919.10
32768                3318.82
65536                6353.92
131072              12534.72
262144              24985.62
524288              49972.23
1048576             99924.06
2097152            199875.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.29
2                      14.19
4                      14.58
8                      15.87
16                     17.35
32                     19.03
64                     22.35
128                    28.30
256                    45.87
512                    72.74
1024                  129.07
2048                  345.80
4096                  493.06
8192                  967.57
16384                1916.41
32768                3315.98
65536                6351.37
131072              12534.34
262144              24998.06
524288              49965.24
1048576             99923.85
2097152            199890.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.23
2                      14.12
4                      14.60
8                      15.94
16                     17.40
32                     19.07
64                     22.34
128                    28.19
256                    45.84
512                    72.65
1024                  129.15
2048                  346.51
4096                  489.82
8192                  968.83
16384                1922.26
32768                3301.13
65536                6351.96
131072              12529.95
262144              24990.98
524288              49968.79
1048576             99925.99
2097152            199888.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.22
2                      14.03
4                      14.52
8                      15.89
16                     17.38
32                     18.97
64                     22.37
128                    28.20
256                    45.97
512                    72.66
1024                  129.05
2048                  345.49
4096                  492.40
8192                  953.53
16384                1915.87
32768                3313.38
65536                6347.33
131072              12530.55
262144              24998.46
524288              49979.43
1048576             99927.85
2097152            199894.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.17
2                      14.03
4                      14.52
8                      15.92
16                     17.42
32                     19.12
64                     22.35
128                    28.20
256                    45.89
512                    72.69
1024                  129.13
2048                  345.85
4096                  490.77
8192                  980.24
16384                1922.11
32768                3312.28
65536                6349.43
131072              12536.75
262144              24993.40
524288              49974.36
1048576             99923.65
2097152            199881.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.17
2                      14.07
4                      14.55
8                      15.91
16                     17.35
32                     18.99
64                     22.24
128                    28.25
256                    45.99
512                    72.79
1024                  129.30
2048                  346.91
4096                  495.38
8192                  983.18
16384                1917.41
32768                3302.19
65536                6346.53
131072              12532.61
262144              24993.90
524288              49971.71
1048576             99944.71
2097152            199891.82
