
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.87
2                      25.37
4                      25.65
8                      25.89
16                     26.40
32                     28.23
64                     30.50
128                    34.16
256                    39.89
512                    49.93
1024                   72.18
2048                  108.38
4096                  193.73
8192                  449.42
16384                 996.23
32768                1993.78
65536                4034.16
131072               8311.54
262144              16897.47
524288              34086.54
1048576             67664.81
2097152            134397.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.58
2                      25.08
4                      25.28
8                      25.45
16                     26.20
32                     27.73
64                     29.88
128                    33.89
256                    39.43
512                    50.02
1024                   72.14
2048                  108.29
4096                  192.35
8192                  451.24
16384                 999.23
32768                1988.75
65536                4029.55
131072               8310.94
262144              16864.50
524288              33966.49
1048576             67727.39
2097152            134404.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.17
2                      25.44
4                      25.49
8                      25.70
16                     26.42
32                     28.08
64                     30.16
128                    33.90
256                    39.47
512                    50.00
1024                   72.08
2048                  108.22
4096                  192.32
8192                  452.10
16384                1003.58
32768                2000.61
65536                4035.14
131072               8300.94
262144              16869.66
524288              33995.74
1048576             67567.04
2097152            134355.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.43
2                      26.53
4                      26.76
8                      26.78
16                     27.24
32                     29.24
64                     30.75
128                    34.36
256                    39.79
512                    50.03
1024                   72.29
2048                  108.41
4096                  193.09
8192                  450.19
16384                 998.03
32768                1999.22
65536                4039.64
131072               8319.61
262144              16939.42
524288              33970.00
1048576             67700.28
2097152            134608.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.16
2                      24.79
4                      24.81
8                      25.10
16                     25.80
32                     27.36
64                     29.74
128                    33.77
256                    39.29
512                    49.91
1024                   72.13
2048                  107.88
4096                  191.99
8192                  451.90
16384                 999.49
32768                1995.16
65536                4025.97
131072               8314.79
262144              16877.46
524288              34052.93
1048576             67727.74
2097152            134338.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.16
2                      24.76
4                      25.04
8                      25.20
16                     25.91
32                     27.37
64                     29.68
128                    33.62
256                    39.22
512                    50.06
1024                   72.21
2048                  108.53
4096                  193.04
8192                  453.62
16384                1004.34
32768                1997.88
65536                4032.13
131072               8316.79
262144              16871.68
524288              33871.85
1048576             67657.73
2097152            134225.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.34
2                      24.76
4                      24.82
8                      25.32
16                     26.07
32                     27.39
64                     29.99
128                    34.04
256                    39.49
512                    50.00
1024                   72.13
2048                  108.52
4096                  192.13
8192                  450.64
16384                1001.01
32768                1999.27
65536                4039.10
131072               8307.63
262144              16885.87
524288              33957.80
1048576             67663.06
2097152            134423.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.34
2                      24.81
4                      24.89
8                      25.16
16                     25.85
32                     27.34
64                     29.74
128                    33.66
256                    39.30
512                    49.83
1024                   72.30
2048                  108.52
4096                  193.79
8192                  453.93
16384                1001.86
32768                1999.90
65536                4043.68
131072               8306.29
262144              16875.89
524288              33883.17
1048576             67823.64
2097152            134271.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.99
2                      24.60
4                      24.69
8                      24.98
16                     25.71
32                     27.17
64                     29.56
128                    33.67
256                    39.21
512                    49.87
1024                   72.04
2048                  108.09
4096                  191.71
8192                  447.49
16384                 998.12
32768                1997.56
65536                4034.58
131072               8298.11
262144              16920.15
524288              33979.92
1048576             67614.27
2097152            134178.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.90
2                      24.89
4                      24.85
8                      25.18
16                     25.99
32                     27.54
64                     29.91
128                    33.80
256                    39.22
512                    49.86
1024                   72.14
2048                  108.63
4096                  193.10
8192                  452.88
16384                 999.90
32768                1985.91
65536                4020.29
131072               8292.31
262144              16865.95
524288              34004.08
1048576             67622.14
2097152            134571.18
