
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.16
2                      24.54
4                      24.67
8                      24.98
16                     25.42
32                     26.73
64                     28.42
128                    32.13
256                    37.97
512                    48.14
1024                   67.57
2048                  103.89
4096                  194.49
8192                  431.35
16384                1179.44
32768                4587.94
65536                8960.07
131072              17136.34
262144              35259.27
524288              63020.60
1048576            110859.08
2097152            249478.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.18
2                      24.53
4                      24.66
8                      25.01
16                     25.43
32                     26.74
64                     28.37
128                    32.11
256                    38.03
512                    48.05
1024                   67.56
2048                  103.52
4096                  193.55
8192                  425.37
16384                1171.04
32768                4626.04
65536                8977.47
131072              17189.85
262144              35571.24
524288              63560.11
1048576            110926.76
2097152            250215.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.21
2                      24.56
4                      24.61
8                      25.04
16                     25.48
32                     26.77
64                     28.37
128                    32.05
256                    37.96
512                    48.19
1024                   67.61
2048                  103.53
4096                  192.78
8192                  424.24
16384                1164.99
32768                4551.24
65536                8961.63
131072              17044.15
262144              35491.15
524288              63059.69
1048576            110374.13
2097152            249650.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.20
2                      24.59
4                      24.80
8                      25.05
16                     25.44
32                     26.76
64                     28.43
128                    32.10
256                    37.96
512                    48.04
1024                   67.57
2048                  103.52
4096                  193.17
8192                  425.91
16384                1164.17
32768                4532.27
65536                8896.62
131072              17035.15
262144              35346.26
524288              63096.62
1048576            110674.56
2097152            250772.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.31
2                      24.48
4                      24.67
8                      25.02
16                     25.69
32                     26.70
64                     28.34
128                    32.15
256                    38.08
512                    48.04
1024                   67.65
2048                  103.38
4096                  192.86
8192                  421.75
16384                1162.80
32768                4476.74
65536                8968.19
131072              17208.88
262144              35367.26
524288              62988.95
1048576            110669.61
2097152            250320.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.20
2                      24.46
4                      24.59
8                      24.93
16                     25.39
32                     26.71
64                     28.41
128                    32.08
256                    38.00
512                    48.15
1024                   67.60
2048                  103.39
4096                  193.40
8192                  423.59
16384                1168.80
32768                4676.65
65536                9044.30
131072              17156.04
262144              35602.97
524288              63143.51
1048576            110310.01
2097152            249989.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.10
2                      24.55
4                      24.66
8                      24.99
16                     25.41
32                     26.72
64                     28.38
128                    32.10
256                    37.95
512                    47.99
1024                   67.62
2048                  103.56
4096                  193.80
8192                  427.39
16384                1185.59
32768                4518.57
65536                8981.75
131072              17161.68
262144              35385.55
524288              62946.83
1048576            110442.21
2097152            250152.08

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.16
2                      24.46
4                      24.66
8                      24.99
16                     25.38
32                     26.68
64                     28.32
128                    31.98
256                    38.10
512                    48.03
1024                   67.56
2048                  103.19
4096                  192.32
8192                  421.61
16384                1167.39
32768                4644.21
65536                8936.11
131072              17129.81
262144              35697.40
524288              63040.96
1048576            110643.01
2097152            250448.03

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.13
2                      24.50
4                      24.66
8                      24.99
16                     25.48
32                     26.73
64                     28.38
128                    32.01
256                    37.99
512                    48.09
1024                   67.59
2048                  103.32
4096                  193.56
8192                  426.77
16384                1169.56
32768                4639.48
65536                8946.25
131072              17020.98
262144              35274.74
524288              62957.87
1048576            110135.85
2097152            250151.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.19
2                      24.50
4                      24.63
8                      24.98
16                     25.39
32                     26.67
64                     28.36
128                    32.08
256                    38.01
512                    48.03
1024                   67.61
2048                  103.73
4096                  194.98
8192                  426.43
16384                1172.53
32768                4570.66
65536                8868.81
131072              17103.87
262144              35647.68
524288              63144.20
1048576            110560.12
2097152            250295.81
