
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.27
2                      47.90
4                      47.96
8                      48.45
16                     49.59
32                     49.47
64                     50.41
128                    56.36
256                    64.57
512                    73.60
1024                   90.02
2048                  120.54
4096                  177.60
8192                  303.55
16384                 561.11
32768                1074.58
65536                2350.74
131072               4667.47
262144               9836.93
524288              20312.84
1048576             41065.82
2097152             82767.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.40
2                      47.89
4                      47.95
8                      48.49
16                     49.58
32                     49.25
64                     50.42
128                    56.29
256                    64.47
512                    73.49
1024                   90.24
2048                  120.57
4096                  177.98
8192                  304.87
16384                 565.99
32768                1073.41
65536                2354.80
131072               4676.80
262144               9872.57
524288              20310.72
1048576             41038.61
2097152             82799.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.41
2                      47.88
4                      47.91
8                      48.45
16                     49.72
32                     49.35
64                     50.42
128                    56.38
256                    64.46
512                    73.48
1024                   90.23
2048                  120.35
4096                  177.53
8192                  303.56
16384                 566.26
32768                1079.70
65536                2359.26
131072               4678.00
262144               9837.75
524288              20321.40
1048576             41070.53
2097152             82813.81

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.40
2                      47.86
4                      47.87
8                      48.47
16                     49.71
32                     49.27
64                     50.32
128                    56.24
256                    64.40
512                    73.44
1024                   90.22
2048                  120.38
4096                  177.73
8192                  303.80
16384                 566.97
32768                1076.30
65536                2354.62
131072               4677.43
262144               9853.24
524288              20327.14
1048576             41047.72
2097152             82775.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.35
2                      47.93
4                      47.87
8                      48.36
16                     49.59
32                     49.28
64                     50.44
128                    56.31
256                    64.51
512                    73.54
1024                   90.31
2048                  120.40
4096                  177.88
8192                  303.85
16384                 578.32
32768                1072.84
65536                2357.27
131072               4675.52
262144               9875.16
524288              20333.36
1048576             41072.85
2097152             82795.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.39
2                      47.85
4                      47.92
8                      48.32
16                     49.50
32                     49.30
64                     50.33
128                    56.20
256                    64.46
512                    73.46
1024                   90.19
2048                  120.29
4096                  177.41
8192                  302.55
16384                 565.65
32768                1070.15
65536                2352.57
131072               4675.65
262144               9856.59
524288              20330.88
1048576             41036.24
2097152             82823.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.27
2                      47.93
4                      47.89
8                      48.65
16                     49.81
32                     49.52
64                     50.52
128                    56.61
256                    64.71
512                    73.61
1024                   90.16
2048                  120.70
4096                  177.63
8192                  302.76
16384                 576.38
32768                1077.54
65536                2355.52
131072               4674.24
262144               9831.34
524288              20303.83
1048576             40995.45
2097152             82756.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.42
2                      48.01
4                      48.26
8                      48.55
16                     49.87
32                     49.40
64                     50.51
128                    56.48
256                    64.46
512                    73.41
1024                   90.18
2048                  120.49
4096                  177.78
8192                  304.90
16384                 563.30
32768                1105.38
65536                2357.49
131072               4667.16
262144               9860.63
524288              20306.19
1048576             41040.95
2097152             82765.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.18
2                      47.83
4                      47.81
8                      48.38
16                     49.50
32                     49.38
64                     50.33
128                    56.40
256                    64.49
512                    73.43
1024                   90.30
2048                  120.47
4096                  177.50
8192                  304.34
16384                 579.68
32768                1069.41
65536                2355.71
131072               4683.56
262144               9856.81
524288              20335.53
1048576             41018.01
2097152             82806.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.43
2                      47.94
4                      48.00
8                      48.47
16                     49.62
32                     49.27
64                     50.41
128                    56.52
256                    64.51
512                    73.48
1024                   90.28
2048                  120.26
4096                  177.59
8192                  303.80
16384                 561.00
32768                1074.21
65536                2358.89
131072               4675.88
262144               9849.22
524288              20310.79
1048576             41057.07
2097152             82846.67
