
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.87
2                      21.41
4                      22.38
8                      23.58
16                     24.81
32                     26.65
64                     30.90
128                    40.84
256                    68.16
512                   122.19
1024                  218.58
2048                  401.47
4096                  791.48
8192                 1546.45
16384                3104.49
32768                6655.86
65536               13138.64
131072              25638.00
262144              52388.51
524288             102625.89
1048576            207527.29
2097152            429307.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.92
2                      21.41
4                      22.36
8                      23.60
16                     24.80
32                     26.75
64                     30.87
128                    40.92
256                    68.13
512                   121.67
1024                  218.59
2048                  403.39
4096                  792.30
8192                 1546.84
16384                3181.71
32768                6615.96
65536               13185.03
131072              25293.87
262144              51453.78
524288             102442.20
1048576            209258.28
2097152            422577.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.78
2                      21.35
4                      22.34
8                      23.51
16                     24.77
32                     26.68
64                     30.83
128                    40.89
256                    68.06
512                   121.49
1024                  216.43
2048                  400.80
4096                  790.40
8192                 1540.85
16384                3125.29
32768                6621.43
65536               12882.72
131072              25093.92
262144              51202.91
524288             103476.22
1048576            208112.29
2097152            423831.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.83
2                      21.44
4                      22.29
8                      23.54
16                     24.78
32                     26.67
64                     30.84
128                    40.85
256                    67.88
512                   121.72
1024                  215.54
2048                  403.79
4096                  786.80
8192                 1537.91
16384                3161.42
32768                6648.09
65536               13188.23
131072              25454.09
262144              51680.62
524288             101914.69
1048576            204639.88
2097152            425333.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.87
2                      21.38
4                      22.31
8                      23.51
16                     24.84
32                     26.66
64                     30.83
128                    40.90
256                    68.16
512                   121.93
1024                  217.42
2048                  400.51
4096                  787.96
8192                 1549.11
16384                3167.85
32768                6639.74
65536               12991.25
131072              25342.81
262144              51699.96
524288             101708.46
1048576            206291.83
2097152            419417.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.86
2                      21.48
4                      22.40
8                      23.59
16                     24.86
32                     26.75
64                     30.94
128                    40.93
256                    67.96
512                   121.83
1024                  216.87
2048                  400.82
4096                  788.91
8192                 1548.27
16384                3141.79
32768                6612.36
65536               13090.20
131072              25807.41
262144              50557.25
524288             103546.63
1048576            205784.83
2097152            425930.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.86
2                      21.38
4                      22.32
8                      23.54
16                     24.82
32                     26.68
64                     30.95
128                    40.94
256                    68.03
512                   121.21
1024                  217.65
2048                  400.66
4096                  786.88
8192                 1538.78
16384                3166.35
32768                6598.75
65536               12971.07
131072              25730.33
262144              51673.31
524288             104092.32
1048576            207899.96
2097152            426309.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.86
2                      21.39
4                      22.33
8                      23.51
16                     24.80
32                     26.69
64                     30.81
128                    40.89
256                    68.04
512                   121.88
1024                  218.16
2048                  400.93
4096                  793.37
8192                 1538.45
16384                3152.71
32768                6683.07
65536               13204.54
131072              25521.70
262144              51929.48
524288             103045.87
1048576            209188.27
2097152            426141.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.81
2                      21.42
4                      22.34
8                      23.54
16                     24.78
32                     26.69
64                     30.80
128                    40.88
256                    67.88
512                   122.19
1024                  215.63
2048                  402.06
4096                  791.26
8192                 1543.11
16384                3162.94
32768                6567.47
65536               12856.25
131072              25322.72
262144              52164.29
524288             102755.24
1048576            209026.05
2097152            420355.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.81
2                      21.45
4                      22.29
8                      23.53
16                     24.79
32                     26.70
64                     30.81
128                    40.81
256                    68.05
512                   121.33
1024                  217.45
2048                  403.87
4096                  790.48
8192                 1550.52
16384                3159.21
32768                6647.00
65536               13009.43
131072              25021.59
262144              53017.15
524288             103187.79
1048576            210403.81
2097152            423213.29
