
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.70
2                      14.89
4                      14.81
8                      14.96
16                     15.32
32                     16.89
64                     18.69
128                    21.86
256                    26.04
512                    34.58
1024                   58.06
2048                  102.07
4096                  195.53
8192                  419.22
16384                 999.52
32768                2369.09
65536                4888.98
131072               9980.23
262144              20257.53
524288              40826.79
1048576             81323.38
2097152            160600.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.98
2                      13.85
4                      13.79
8                      14.05
16                     14.46
32                     15.88
64                     17.86
128                    21.20
256                    25.82
512                    34.70
1024                   58.77
2048                  102.91
4096                  198.26
8192                  427.12
16384                1012.30
32768                2391.28
65536                4937.86
131072              10064.49
262144              20404.06
524288              41174.63
1048576             81862.59
2097152            162850.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.03
2                      13.85
4                      13.85
8                      13.99
16                     14.48
32                     15.87
64                     17.86
128                    21.16
256                    25.92
512                    34.72
1024                   58.78
2048                  102.94
4096                  197.13
8192                  419.53
16384                1006.72
32768                2397.99
65536                4954.56
131072              10088.34
262144              20476.86
524288              41180.39
1048576             82068.98
2097152            162320.00

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.02
2                      13.84
4                      13.79
8                      14.04
16                     14.44
32                     15.83
64                     17.94
128                    21.16
256                    25.84
512                    34.77
1024                   58.62
2048                  102.93
4096                  196.44
8192                  418.99
16384                1007.50
32768                2384.27
65536                4925.73
131072              10050.42
262144              20429.67
524288              41174.72
1048576             81799.08
2097152            162173.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.95
2                      13.78
4                      13.83
8                      14.05
16                     14.51
32                     15.98
64                     17.92
128                    21.16
256                    25.85
512                    34.67
1024                   58.76
2048                  102.94
4096                  197.34
8192                  421.39
16384                1006.90
32768                2392.68
65536                4920.80
131072              10048.25
262144              20432.43
524288              41098.12
1048576             81985.62
2097152            161540.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.16
2                      14.67
4                      14.48
8                      14.90
16                     15.29
32                     16.54
64                     18.31
128                    21.78
256                    26.05
512                    34.58
1024                   58.47
2048                  102.55
4096                  197.04
8192                  418.24
16384                1006.39
32768                2387.93
65536                4916.35
131072              10062.88
262144              20407.27
524288              41030.67
1048576             81691.34
2097152            162044.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.08
2                      13.90
4                      13.84
8                      14.07
16                     14.48
32                     15.84
64                     17.89
128                    21.15
256                    25.82
512                    34.64
1024                   58.27
2048                  102.35
4096                  196.21
8192                  415.37
16384                1001.55
32768                2385.09
65536                4912.29
131072              10023.80
262144              20280.74
524288              40898.22
1048576             81453.14
2097152            162142.06

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.37
2                      15.16
4                      14.89
8                      14.97
16                     15.15
32                     16.80
64                     18.58
128                    21.63
256                    26.07
512                    34.66
1024                   58.24
2048                  102.88
4096                  196.57
8192                  421.64
16384                1003.81
32768                2376.61
65536                4910.81
131072               9987.64
262144              20329.92
524288              40914.27
1048576             81556.16
2097152            161098.95

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.32
2                      13.90
4                      13.93
8                      14.15
16                     14.63
32                     16.01
64                     17.91
128                    21.21
256                    25.84
512                    34.68
1024                   58.65
2048                  102.59
4096                  196.58
8192                  419.16
16384                1005.85
32768                2383.61
65536                4904.95
131072              10019.76
262144              20352.97
524288              41116.81
1048576             81712.50
2097152            162089.00

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.13
2                      13.79
4                      13.81
8                      14.10
16                     14.59
32                     15.86
64                     17.87
128                    21.07
256                    25.83
512                    34.83
1024                   58.66
2048                  103.08
4096                  196.84
8192                  421.17
16384                1009.57
32768                2381.71
65536                4910.33
131072              10030.43
262144              20333.70
524288              41016.16
1048576             81557.60
2097152            161802.58
