
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.49
2                      12.61
4                      12.46
8                      12.92
16                     13.46
32                     14.58
64                     16.27
128                    19.56
256                    24.28
512                    32.90
1024                   56.24
2048                   99.41
4096                 1142.03
8192                 1828.83
16384                4652.54
32768                8699.56
65536               15809.59
131072              27403.45
262144              53240.66
524288             117781.20
1048576            257688.04
2097152            501964.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.99
2                      12.69
4                      12.78
8                      13.11
16                     13.66
32                     14.67
64                     16.49
128                    19.60
256                    24.22
512                    32.93
1024                   56.58
2048                  100.09
4096                 1139.17
8192                 1846.22
16384                4652.13
32768                8739.39
65536               15953.65
131072              27296.79
262144              52857.94
524288             117563.41
1048576            256964.45
2097152            503604.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.80
2                      12.56
4                      12.61
8                      13.04
16                     13.58
32                     14.75
64                     16.39
128                    19.71
256                    24.24
512                    32.81
1024                   56.07
2048                   99.16
4096                 1139.77
8192                 1847.01
16384                4671.66
32768                8825.15
65536               16178.14
131072              27577.39
262144              53409.08
524288             118445.11
1048576            257657.03
2097152            505370.21

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.15
2                      13.14
4                      13.07
8                      13.51
16                     14.06
32                     14.86
64                     16.61
128                    19.80
256                    24.33
512                    32.98
1024                   56.35
2048                   99.55
4096                 1132.89
8192                 1824.38
16384                4661.71
32768                8766.69
65536               16035.91
131072              27144.26
262144              52559.53
524288             117855.96
1048576            257276.49
2097152            502426.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.71
2                      12.59
4                      12.72
8                      13.04
16                     13.71
32                     14.67
64                     16.74
128                    19.89
256                    24.27
512                    32.99
1024                   56.48
2048                   99.69
4096                 1141.04
8192                 1832.99
16384                4680.27
32768                8859.86
65536               16242.38
131072              27578.15
262144              53192.43
524288             118948.50
1048576            258314.56
2097152            504913.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.87
2                      12.63
4                      12.79
8                      13.70
16                     13.59
32                     14.58
64                     16.46
128                    19.84
256                    24.34
512                    32.96
1024                   56.57
2048                  100.04
4096                 1154.51
8192                 1853.55
16384                4661.95
32768                8865.96
65536               16149.32
131072              27073.16
262144              52349.50
524288             118514.95
1048576            258429.70
2097152            502913.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.46
2                      12.45
4                      12.50
8                      12.98
16                     13.55
32                     14.42
64                     16.67
128                    19.50
256                    24.22
512                    32.95
1024                   56.35
2048                   99.75
4096                 1149.83
8192                 1828.67
16384                4668.00
32768                8824.05
65536               16224.29
131072              27344.78
262144              52901.27
524288             118140.58
1048576            258629.14
2097152            505336.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.44
2                      12.95
4                      12.50
8                      12.86
16                     13.44
32                     14.39
64                     16.25
128                    19.53
256                    24.28
512                    32.90
1024                   56.42
2048                  100.08
4096                 1142.75
8192                 1842.79
16384                4650.18
32768                8743.32
65536               16067.62
131072              27043.68
262144              52919.52
524288             117867.12
1048576            258263.87
2097152            504133.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.07
2                      13.00
4                      12.78
8                      13.15
16                     13.82
32                     15.48
64                     16.93
128                    20.15
256                    24.36
512                    32.98
1024                   57.82
2048                   99.98
4096                 1164.92
8192                 1835.14
16384                4646.97
32768                8774.54
65536               16049.26
131072              27085.78
262144              52655.18
524288             118301.84
1048576            258119.89
2097152            504409.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.23
2                      12.89
4                      12.97
8                      13.54
16                     13.89
32                     14.98
64                     16.68
128                    19.92
256                    24.39
512                    33.02
1024                   56.52
2048                  100.82
4096                 1145.60
8192                 1837.93
16384                4658.38
32768                8750.36
65536               16118.52
131072              27275.53
262144              52363.70
524288             119069.25
1048576            258613.22
2097152            504321.96
