
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.69
2                      41.35
4                      42.16
8                      43.90
16                     41.95
32                     45.11
64                     48.96
128                    57.09
256                    79.27
512                   114.17
1024                  189.69
2048                  176.85
4096                  269.84
8192                  495.13
16384                1509.50
32768                2839.71
65536                5317.46
131072              10612.79
262144              21070.13
524288              42530.91
1048576             86333.22
2097152            187285.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.86
2                      41.45
4                      42.18
8                      44.07
16                     42.05
32                     45.22
64                     49.09
128                    57.09
256                    79.30
512                   114.10
1024                  189.27
2048                  176.49
4096                  269.36
8192                  503.57
16384                1510.26
32768                2807.66
65536                5279.31
131072              10562.93
262144              21073.39
524288              42433.29
1048576             86291.90
2097152            187361.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.87
2                      41.51
4                      42.17
8                      44.05
16                     42.07
32                     45.24
64                     49.10
128                    57.00
256                    79.19
512                   114.07
1024                  444.63
2048                  181.57
4096                  272.76
8192                  476.93
16384                1527.49
32768                2817.16
65536                5300.93
131072              10594.16
262144              21088.20
524288              42504.19
1048576             86305.68
2097152            187609.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.94
2                      41.52
4                      42.19
8                      44.02
16                     42.04
32                     45.21
64                     49.05
128                    56.96
256                    79.14
512                   114.17
1024                  188.91
2048                  176.74
4096                  269.63
8192                  495.51
16384                1516.14
32768                2809.94
65536                5306.96
131072              10590.56
262144              21094.46
524288              42412.01
1048576             86211.15
2097152            187358.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.85
2                      41.46
4                      42.10
8                      44.02
16                     41.98
32                     45.16
64                     49.07
128                    57.09
256                    79.18
512                   114.06
1024                  189.21
2048                  176.26
4096                  270.35
8192                  510.27
16384                1519.86
32768                2820.30
65536                5316.30
131072              10606.44
262144              21123.65
524288              42493.63
1048576             86382.87
2097152            187356.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.89
2                      41.47
4                      42.16
8                      44.02
16                     42.06
32                     45.18
64                     49.05
128                    57.13
256                    79.36
512                   114.08
1024                  188.99
2048                  176.40
4096                  270.00
8192                  495.30
16384                1512.14
32768                2819.07
65536                5301.96
131072              10579.97
262144              21068.30
524288              42521.19
1048576             86306.39
2097152            187312.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.83
2                      41.44
4                      42.07
8                      43.98
16                     41.99
32                     45.11
64                     49.05
128                    57.16
256                    79.20
512                   114.14
1024                  189.55
2048                  176.76
4096                  269.60
8192                  497.68
16384                1508.35
32768                2808.07
65536                5301.29
131072              10582.39
262144              21095.59
524288              42551.39
1048576             86335.70
2097152            187116.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.80
2                      41.42
4                      42.11
8                      44.01
16                     42.00
32                     45.15
64                     49.01
128                    57.09
256                    79.17
512                   114.09
1024                  189.38
2048                  179.26
4096                  270.31
8192                  500.04
16384                1508.92
32768                2800.59
65536                5323.87
131072              10590.57
262144              21137.77
524288              42526.13
1048576             86331.17
2097152            187398.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.97
2                      41.48
4                      42.18
8                      44.10
16                     42.09
32                     45.18
64                     49.07
128                    57.11
256                    79.23
512                   114.06
1024                  189.05
2048                  176.09
4096                  269.71
8192                  498.34
16384                1514.43
32768                2813.63
65536                5301.00
131072              10603.02
262144              21112.60
524288              42534.75
1048576             86369.26
2097152            187323.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.81
2                      41.39
4                      42.08
8                      44.02
16                     42.01
32                     45.18
64                     49.10
128                    57.01
256                    79.17
512                   114.14
1024                  189.13
2048                  177.66
4096                  269.80
8192                  500.96
16384                1517.97
32768                2823.86
65536                5315.98
131072              10590.90
262144              21091.53
524288              42467.37
1048576             86356.33
2097152            186727.38
