
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.21
2                      41.48
4                      42.47
8                      44.94
16                     41.16
32                     44.30
64                     46.50
128                    52.03
256                    60.04
512                    75.77
1024                  113.94
2048                  189.33
4096                  999.31
8192                 1886.16
16384                4580.69
32768                8492.58
65536               15789.51
131072              29922.23
262144              59723.97
524288             119363.46
1048576            238691.98
2097152            477981.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.53
2                      40.46
4                      41.12
8                      43.58
16                     40.35
32                     43.13
64                     45.97
128                    51.50
256                    59.86
512                    75.76
1024                  114.17
2048                  189.47
4096                 1006.79
8192                 1895.23
16384                4568.21
32768                8510.69
65536               15776.62
131072              29911.46
262144              59692.83
524288             119319.63
1048576            238656.11
2097152            477837.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.46
2                      40.65
4                      41.41
8                      43.89
16                     40.30
32                     43.06
64                     45.96
128                    51.71
256                    59.91
512                    75.75
1024                  113.81
2048                  189.49
4096                 1004.20
8192                 1893.03
16384                4605.33
32768                8503.38
65536               15792.19
131072              29925.82
262144              59700.78
524288             119312.21
1048576            238688.76
2097152            477955.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.42
2                      40.42
4                      41.22
8                      43.67
16                     40.31
32                     43.20
64                     45.90
128                    51.41
256                    59.69
512                    75.85
1024                  114.50
2048                  189.74
4096                 1019.59
8192                 1914.97
16384                4582.76
32768                8494.42
65536               15772.13
131072              29898.13
262144              59692.19
524288             119333.00
1048576            308164.77
2097152            477746.41

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.24
2                      40.14
4                      41.18
8                      43.53
16                     40.02
32                     43.11
64                     45.76
128                    51.28
256                    59.63
512                    75.58
1024                  114.17
2048                  189.41
4096                 1005.50
8192                 1899.27
16384                4594.16
32768                8507.84
65536               15801.99
131072              29927.66
262144              59711.36
524288             119324.27
1048576            238664.88
2097152            477922.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.28
2                      41.08
4                      41.83
8                      44.24
16                     40.71
32                     43.72
64                     46.14
128                    51.60
256                    59.77
512                    75.65
1024                  114.00
2048                  189.60
4096                 1009.74
8192                 1911.42
16384                4588.67
32768                8499.51
65536               15782.88
131072              29919.16
262144              59716.02
524288             119300.99
1048576            238656.45
2097152            477931.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.98
2                      41.31
4                      42.14
8                      44.61
16                     40.96
32                     44.12
64                     46.44
128                    51.85
256                    59.97
512                    75.63
1024                  113.97
2048                  189.51
4096                 1007.36
8192                 1898.72
16384                4585.67
32768                8496.83
65536               15780.93
131072              29918.49
262144              59700.87
524288             119338.32
1048576            238648.56
2097152            477875.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.27
2                      40.30
4                      41.12
8                      43.53
16                     40.17
32                     42.94
64                     45.76
128                    51.66
256                    59.71
512                    75.71
1024                  114.05
2048                  190.41
4096                 1007.78
8192                 1893.79
16384                4571.84
32768                8480.58
65536               15763.97
131072              29904.87
262144              59686.12
524288             119297.86
1048576            238618.47
2097152            477929.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.03
2                      40.18
4                      40.88
8                      43.32
16                     39.75
32                     42.72
64                     45.57
128                    51.10
256                    59.63
512                    75.68
1024                  114.23
2048                  189.96
4096                 1016.48
8192                 1906.15
16384                4583.39
32768                8491.93
65536               15764.27
131072              29920.22
262144              59702.18
524288             119354.29
1048576            238632.20
2097152            477814.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.32
2                      40.38
4                      41.15
8                      43.60
16                     40.13
32                     42.90
64                     45.74
128                    51.37
256                    59.74
512                    75.68
1024                  114.00
2048                  189.25
4096                 1006.53
8192                 1899.54
16384                4587.26
32768                8508.45
65536               15768.17
131072              29945.99
262144              59724.40
524288             119325.41
1048576            238605.95
2097152            477901.11
