
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.97
2                     547.10
4                     558.74
8                     563.42
16                    545.30
32                    555.79
64                    571.11
128                   589.20
256                   685.77
512                   760.97
1024                 1137.21
2048                 1617.81
4096                 2670.80
8192                 5444.48
16384               13938.62
32768               29605.63
65536               61217.77
131072             124679.66
262144             233555.28

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.43
2                     546.64
4                     558.23
8                     563.16
16                    544.38
32                    554.70
64                    570.48
128                   588.62
256                   684.87
512                   761.08
1024                 1142.62
2048                 1628.49
4096                 2673.20
8192                 5388.28
16384               13804.55
32768               29900.88
65536               61262.37
131072             124542.02
262144             233067.99

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.21
2                     546.65
4                     556.92
8                     563.11
16                    544.57
32                    555.02
64                    571.53
128                   588.84
256                   684.78
512                   761.21
1024                 1136.56
2048                 1627.13
4096                 2673.54
8192                 5449.28
16384               13796.17
32768               29551.40
65536               61006.49
131072             124440.59
262144             233329.79

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.15
2                     546.46
4                     557.70
8                     562.42
16                    544.09
32                    554.66
64                    570.15
128                   588.47
256                   684.49
512                   760.91
1024                 1138.80
2048                 1620.23
4096                 2676.56
8192                 5431.94
16384               13743.56
32768               29894.88
65536               61184.78
131072             124090.66
262144             232898.87

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.08
2                     546.76
4                     558.33
8                     563.14
16                    544.75
32                    555.34
64                    571.77
128                   588.96
256                   684.40
512                   761.35
1024                 1132.34
2048                 1617.48
4096                 2643.35
8192                 5449.71
16384               13802.11
32768               29780.70
65536               61266.50
131072             124275.32
262144             233382.64

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.29
2                     546.99
4                     556.53
8                     563.02
16                    544.50
32                    554.97
64                    570.72
128                   589.46
256                   684.58
512                   761.19
1024                 1138.38
2048                 1637.91
4096                 2707.40
8192                 5425.61
16384               13828.60
32768               29866.04
65536               61783.19
131072             124911.99
262144             232940.75

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.22
2                     546.72
4                     559.15
8                     563.26
16                    545.03
32                    555.22
64                    571.53
128                   589.19
256                   684.50
512                   760.83
1024                 1136.54
2048                 1629.47
4096                 2700.17
8192                 5414.22
16384               13817.12
32768               29746.38
65536               60768.13
131072             124362.65
262144             232886.77

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.45
2                     547.02
4                     557.26
8                     562.58
16                    544.64
32                    554.99
64                    570.95
128                   588.87
256                   684.56
512                   760.84
1024                 1136.28
2048                 1630.07
4096                 2693.95
8192                 5398.28
16384               14032.03
32768               30004.97
65536               60973.72
131072             124520.51
262144             233008.85

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.08
2                     546.56
4                     557.57
8                     563.34
16                    544.61
32                    554.88
64                    570.89
128                   589.52
256                   684.79
512                   760.85
1024                 1137.96
2048                 1631.47
4096                 2684.89
8192                 5418.08
16384               13852.59
32768               30037.85
65536               61324.98
131072             124665.00
262144             233308.35

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.41
2                     546.53
4                     558.10
8                     562.68
16                    544.68
32                    555.01
64                    570.49
128                   589.17
256                   685.02
512                   761.22
1024                 1139.19
2048                 1623.92
4096                 2691.65
8192                 5465.23
16384               14192.08
32768               29877.63
65536               61234.18
131072             124471.25
262144             232956.95
