
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     735.63
2                     691.37
4                     689.47
8                     704.49
16                    700.28
32                    765.09
64                    725.28
128                   807.62
256                   874.82
512                   901.28
1024                 1039.96
2048                 1276.69
4096                 2061.04
8192                 3691.33
16384                9157.62
32768               17924.35
65536               27021.78
131072              54137.47
262144             108555.45

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     732.65
2                     683.57
4                     685.07
8                     700.97
16                    692.26
32                    751.88
64                    712.47
128                   821.94
256                   871.27
512                   893.42
1024                 1038.76
2048                 1271.02
4096                 2052.95
8192                 3673.20
16384                9131.50
32768               17929.92
65536               27060.47
131072              53718.02
262144             107638.56

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     730.74
2                     683.38
4                     684.72
8                     699.26
16                    691.76
32                    760.03
64                    714.60
128                   820.03
256                   874.39
512                   893.83
1024                 1038.68
2048                 1273.01
4096                 2069.22
8192                 3672.53
16384                9190.56
32768               17937.81
65536               26987.60
131072              53808.11
262144             107376.46

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     736.05
2                     683.45
4                     693.82
8                     728.41
16                    713.59
32                    723.42
64                    735.18
128                   813.46
256                   851.73
512                   912.80
1024                 1069.67
2048                 1316.29
4096                 2128.06
8192                 3658.34
16384                8909.96
32768               17511.66
65536               27988.85
131072              54256.73
262144             105689.97

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     742.29
2                     696.45
4                     698.52
8                     710.49
16                    749.72
32                    701.71
64                    752.26
128                   803.24
256                   880.23
512                   931.60
1024                 1026.74
2048                 1272.47
4096                 2083.21
8192                 3619.56
16384                9034.92
32768               17706.86
65536               26896.40
131072              53991.65
262144             107132.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     738.86
2                     687.42
4                     684.59
8                     699.95
16                    691.42
32                    757.48
64                    720.85
128                   817.45
256                   872.33
512                   893.38
1024                 1035.58
2048                 1272.25
4096                 2050.30
8192                 3635.20
16384                9126.71
32768               17937.66
65536               26919.76
131072              53537.94
262144             107439.60

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     726.96
2                     685.01
4                     686.47
8                     701.86
16                    693.13
32                    754.91
64                    716.15
128                   820.40
256                   876.10
512                   894.91
1024                 1060.66
2048                 1268.53
4096                 2058.29
8192                 3651.27
16384                9106.65
32768               17916.24
65536               26918.83
131072              53759.57
262144             107446.01

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     732.88
2                     684.35
4                     686.07
8                     700.07
16                    692.96
32                    756.87
64                    714.62
128                   819.83
256                   867.61
512                   898.69
1024                 1035.10
2048                 1275.49
4096                 2040.06
8192                 3604.12
16384                9149.47
32768               17799.97
65536               26987.01
131072              53653.76
262144             107205.31

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     728.60
2                     684.56
4                     689.15
8                     720.90
16                    709.79
32                    751.04
64                    714.91
128                   815.27
256                   867.39
512                   912.90
1024                 1060.38
2048                 1277.36
4096                 2049.21
8192                 3581.17
16384                8891.30
32768               17423.15
65536               26955.60
131072              53310.35
262144             106187.21

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     741.07
2                     688.19
4                     688.74
8                     704.76
16                    695.66
32                    757.65
64                    717.81
128                   819.82
256                   876.21
512                   894.96
1024                 1043.35
2048                 1277.41
4096                 2053.15
8192                 3644.23
16384                9076.20
32768               17833.83
65536               26850.12
131072              53462.51
262144             107316.75
