
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.52
2                      27.89
4                      23.35
8                      20.72
16                     19.25
32                     21.36
64                     25.61
128                    36.57
256                    66.12
512                   119.09
1024                  280.03
2048                  546.44
4096                 1067.21
8192                 2137.31
16384                4478.20
32768                9097.87
65536               18289.23
131072              41689.90
262144              83122.05

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.68
2                      28.64
4                      23.87
8                      21.50
16                     20.40
32                     21.51
64                     25.70
128                    36.86
256                    65.76
512                   118.46
1024                  279.94
2048                  545.04
4096                 1058.47
8192                 2107.02
16384                4439.45
32768                9100.40
65536               18194.99
131072              41465.21
262144              82449.36

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.33
2                      26.12
4                      21.86
8                      17.26
16                     17.05
32                     19.63
64                     24.65
128                    35.86
256                    65.07
512                   117.96
1024                  280.26
2048                  546.39
4096                 1061.77
8192                 2141.68
16384                4468.36
32768                9125.23
65536               18279.00
131072              41683.18
262144              83068.90

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.53
2                      26.19
4                      22.01
8                      17.52
16                     16.83
32                     19.46
64                     24.71
128                    35.62
256                    65.26
512                   117.90
1024                  280.29
2048                  547.83
4096                 1072.41
8192                 2130.63
16384                4505.83
32768                9142.29
65536               18266.11
131072              41710.92
262144              83077.80

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.61
2                      26.08
4                      21.70
8                      17.38
16                     16.64
32                     19.22
64                     24.44
128                    35.41
256                    64.70
512                   116.73
1024                  277.09
2048                  542.37
4096                 1055.44
8192                 2108.77
16384                4442.86
32768                9034.02
65536               18200.29
131072              41475.55
262144              82514.70

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.93
2                      25.91
4                      21.62
8                      16.77
16                     16.64
32                     19.33
64                     24.08
128                    35.00
256                    64.74
512                   117.25
1024                  279.47
2048                  544.06
4096                 1065.84
8192                 2129.28
16384                4495.42
32768                9143.58
65536               18257.35
131072              41678.09
262144              83114.04

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.02
2                      25.94
4                      21.67
8                      16.68
16                     16.36
32                     19.03
64                     23.95
128                    35.03
256                    64.78
512                   117.66
1024                  280.85
2048                  546.41
4096                 1063.27
8192                 2154.02
16384                4489.10
32768                9113.61
65536               18241.29
131072              41695.51
262144              82961.37

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.10
2                      26.00
4                      21.50
8                      16.64
16                     16.21
32                     19.04
64                     24.04
128                    34.82
256                    64.29
512                   115.91
1024                  280.48
2048                  545.08
4096                 1059.93
8192                 2112.55
16384                4448.94
32768                9144.37
65536               18184.02
131072              41539.21
262144              82800.67

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.05
2                      25.92
4                      21.71
8                      16.75
16                     16.26
32                     19.49
64                     24.43
128                    35.15
256                    64.63
512                   117.61
1024                  280.24
2048                  545.05
4096                 1060.02
8192                 2137.71
16384                4463.24
32768                9130.32
65536               18315.95
131072              41742.92
262144              83093.14

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.16
2                      25.85
4                      21.50
8                      17.19
16                     16.34
32                     19.00
64                     24.00
128                    34.91
256                    64.13
512                   115.97
1024                  279.69
2048                  543.76
4096                 1058.18
8192                 2137.84
16384                4447.92
32768                9091.73
65536               18243.16
131072              41597.86
262144              82835.36

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.35
2                      26.15
4                      21.91
8                      17.50
16                     16.90
32                     20.00
64                     24.49
128                    35.34
256                    65.05
512                   117.60
1024                  278.55
2048                  541.60
4096                 1064.12
8192                 2127.41
16384                4493.33
32768                9165.76
65536               18314.62
131072              41686.90
262144              83093.97

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.57
2                      26.19
4                      21.94
8                      17.52
16                     17.24
32                     19.61
64                     24.53
128                    35.21
256                    64.62
512                   116.71
1024                  279.05
2048                  544.70
4096                 1055.89
8192                 2134.01
16384                4475.88
32768                9052.59
65536               18241.69
131072              41535.95
262144              82880.24

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
