
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.14
2                      26.17
4                      28.40
8                      29.36
16                     30.78
32                     34.06
64                     42.79
128                    64.87
256                   157.29
512                   260.86
1024                  508.04
2048                  446.64
4096                  748.04
8192                 1575.37
16384                3924.87
32768                7845.73
65536               11671.61
131072              22255.36
262144              43617.26

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.03
2                      25.72
4                      28.35
8                      29.29
16                     30.71
32                     33.90
64                     42.82
128                    64.76
256                   157.65
512                   261.29
1024                  507.93
2048                  428.17
4096                  745.70
8192                 1560.72
16384                3958.04
32768                7907.39
65536               11639.76
131072              22220.88
262144              43563.16

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.09
2                      25.79
4                      28.42
8                      29.45
16                     30.82
32                     33.98
64                     42.87
128                    64.88
256                   157.79
512                   262.53
1024                  505.76
2048                  426.95
4096                  752.19
8192                 1597.51
16384                3927.18
32768                7878.44
65536               11666.69
131072              22253.94
262144              43592.44

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.10
2                      25.92
4                      28.72
8                      29.43
16                     30.85
32                     34.13
64                     42.92
128                    65.06
256                   157.83
512                   261.03
1024                  506.66
2048                  427.22
4096                  758.88
8192                 1593.06
16384                3994.50
32768                8029.51
65536               11663.65
131072              22239.87
262144              43590.16

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.02
2                      25.82
4                      28.39
8                      29.34
16                     30.76
32                     33.90
64                     42.93
128                    64.72
256                   158.21
512                   262.90
1024                  506.71
2048                  432.68
4096                  747.71
8192                 1567.78
16384                4010.07
32768                7971.68
65536               11686.05
131072              22219.68
262144              43594.61

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.39
2                      25.65
4                      28.30
8                      29.44
16                     30.70
32                     33.88
64                     43.89
128                    64.63
256                   157.92
512                   261.97
1024                  511.17
2048                  432.13
4096                  759.58
8192                 1587.72
16384                3930.29
32768                7957.08
65536               11672.97
131072              22232.74
262144              43548.12

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.08
2                      25.70
4                      28.28
8                      29.29
16                     30.74
32                     33.83
64                     42.85
128                    64.67
256                   157.30
512                   261.45
1024                  507.81
2048                  433.44
4096                  752.10
8192                 1572.63
16384                3973.65
32768                7870.11
65536               11679.19
131072              22247.63
262144              43538.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.06
2                      25.77
4                      28.31
8                      29.32
16                     30.76
32                     33.94
64                     42.86
128                    64.79
256                   157.45
512                   262.53
1024                  507.21
2048                  433.08
4096                  745.30
8192                 1571.65
16384                3945.42
32768                7931.40
65536               11672.15
131072              22211.35
262144              43687.92

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.90
2                      25.82
4                      28.63
8                      29.31
16                     30.75
32                     34.28
64                     42.75
128                    64.58
256                   157.69
512                   262.65
1024                  507.10
2048                  426.97
4096                  750.01
8192                 1578.70
16384                3959.15
32768                8000.32
65536               11666.12
131072              22221.56
262144              43529.77

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.06
2                      25.79
4                      28.40
8                      29.44
16                     30.78
32                     33.92
64                     42.88
128                    64.84
256                   158.32
512                   263.11
1024                  508.07
2048                  433.00
4096                  755.62
8192                 1587.01
16384                3905.27
32768                7881.14
65536               11656.41
131072              22216.14
262144              43542.05

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.90
2                      25.69
4                      28.37
8                      29.49
16                     30.78
32                     33.92
64                     43.06
128                    64.63
256                   158.41
512                   261.61
1024                  509.15
2048                  431.44
4096                  750.27
8192                 1561.42
16384                3944.19
32768                7948.68
65536               11670.89
131072              22230.73
262144              43565.46

