
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.18
2                      45.03
4                      41.85
8                      40.09
16                     37.89
32                     41.16
64                     49.59
128                    64.32
256                   103.01
512                   171.53
1024                  382.58
2048                  752.30
4096                 1395.01
8192                 3146.66
16384                6748.11
32768               13470.69
65536               26782.50
131072              58285.46
262144             115865.36

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.22
2                      44.99
4                      41.74
8                      39.99
16                     38.81
32                     42.22
64                     50.46
128                    65.06
256                   102.76
512                   171.37
1024                  378.76
2048                  748.24
4096                 1402.30
8192                 3114.53
16384                6705.14
32768               13505.23
65536               26721.88
131072              58295.58
262144             115791.69

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.09
2                      45.32
4                      42.01
8                      39.52
16                     37.36
32                     41.05
64                     48.94
128                    64.14
256                   102.73
512                   176.76
1024                  377.39
2048                  749.38
4096                 1406.04
8192                 3153.99
16384                6673.33
32768               13479.20
65536               26568.06
131072              57944.40
262144             115333.25

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.18
2                      45.57
4                      41.79
8                      40.52
16                     38.04
32                     42.56
64                     49.76
128                    64.91
256                   103.46
512                   172.94
1024                  383.22
2048                  756.81
4096                 1393.05
8192                 3102.33
16384                6728.23
32768               13512.82
65536               26755.85
131072              58401.76
262144             115890.92

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.04
2                      45.89
4                      41.94
8                      39.93
16                     39.04
32                     41.34
64                     48.70
128                    64.25
256                   103.55
512                   171.26
1024                  380.84
2048                  755.76
4096                 1389.13
8192                 3124.38
16384                6723.22
32768               13497.08
65536               26727.82
131072              58199.85
262144             115682.25

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.26
2                      46.07
4                      41.76
8                      39.65
16                     38.58
32                     41.09
64                     49.44
128                    64.27
256                   104.58
512                   175.65
1024                  379.00
2048                  753.63
4096                 1390.91
8192                 3132.47
16384                6735.24
32768               13461.37
65536               26635.31
131072              58147.67
262144             115487.07

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.36
2                      45.35
4                      42.06
8                      40.89
16                     39.87
32                     42.88
64                     50.18
128                    65.77
256                   104.48
512                   172.48
1024                  378.61
2048                  754.72
4096                 1395.33
8192                 3150.99
16384                6780.74
32768               13547.99
65536               26724.69
131072              58235.38
262144             115866.17

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.92
2                      45.14
4                      42.40
8                      38.80
16                     37.80
32                     40.29
64                     48.20
128                    63.18
256                   102.12
512                   172.35
1024                  381.31
2048                  760.24
4096                 1397.68
8192                 3129.74
16384                6772.05
32768               13527.45
65536               26772.93
131072              58348.41
262144             115900.07

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      50.04
2                      45.21
4                      41.98
8                      39.84
16                     37.52
32                     41.62
64                     49.09
128                    64.92
256                   101.46
512                   172.27
1024                  378.57
2048                  752.54
4096                 1402.32
8192                 3121.87
16384                6769.85
32768               13448.84
65536               26685.86
131072              58159.43
262144             115400.92

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.24
2                      45.14
4                      41.95
8                      41.16
16                     38.90
32                     42.37
64                     49.43
128                    65.08
256                   103.29
512                   172.71
1024                  379.22
2048                  750.63
